Date, Close/Last, Volume, Open, High, Low
06/17/2020, $10.18, 1299783, $9.4, $10.28, $9.17
06/16/2020, $9.19, 466421, $9.3, $9.46, $9.06
06/15/2020, $9.03, 367410, $8.56, $9.25, $8.56
06/12/2020, $8.81, 481467, $9.02, $9.27, $8.57
06/11/2020, $8.65, 542700, $9, $9.32, $8.65
06/10/2020, $9.39, 308789, $9.73, $9.81, $9.38
06/09/2020, $9.695, 689239, $10.07, $10.1481, $9.52
06/08/2020, $10.24, 647489, $10.06, $10.26, $9.885
06/05/2020, $9.98, 1014299, $10, $10.145, $9.73
06/04/2020, $9.81, 645776, $9.45, $9.975, $9.39
06/03/2020, $9.54, 662041, $9.11, $9.57, $9.11
06/02/2020, $9.05, 813285, $9.19, $9.34, $9
06/01/2020, $9.15, 698616, $8.82, $9.25, $8.82
05/29/2020, $8.83, 568128, $8.82, $8.89, $8.62
05/28/2020, $8.9, 791160, $9, $9.07, $8.77
05/27/2020, $9.05, 633116, $9.06, $9.11, $8.66
05/26/2020, $8.96, 726045, $8.82, $9.14, $8.755
05/22/2020, $8.61, 452760, $8.68, $8.735, $8.52
05/21/2020, $8.66, 347958, $8.64, $8.83, $8.51
05/20/2020, $8.61, 485119, $8.59, $8.86, $8.5
05/19/2020, $8.44, 675304, $8.37, $8.66, $8.25
05/18/2020, $8.35, 782871, $8.45, $8.64, $8.17
05/15/2020, $8.15, 556113, $8.31, $8.3999, $8.09
05/14/2020, $8.5, 640059, $8.5, $8.61, $8.27
05/13/2020, $8.7, 1052548, $9.21, $9.3, $8.31
05/12/2020, $9.28, 667908, $9.77, $10.01, $9.28
05/11/2020, $9.71, 935579, $10.02, $10.09, $9.63
05/08/2020, $10.19, 2428787, $10.79, $11.04, $10.11
05/07/2020, $12.2, 1642943, $11, $12.5629, $10.97
05/06/2020, $10.78, 574584, $10.36, $10.9, $10.29
05/05/2020, $10.34, 472585, $10.62, $10.85, $10.2
05/04/2020, $10.42, 499024, $10.01, $10.54, $9.765
05/01/2020, $10.11, 679062, $10.38, $10.66, $9.92
04/30/2020, $10.72, 782179, $11.005, $11.45, $10.47
04/29/2020, $10.98, 868853, $10, $11.17, $9.94
04/28/2020, $9.76, 393288, $9.92, $10.1769, $9.66
04/27/2020, $9.77, 703494, $9.12, $9.89, $9.12
04/24/2020, $9.09, 783534, $8.65, $9.29, $8.37
04/23/2020, $8.76, 495949, $8.49, $8.995, $8.41
04/22/2020, $8.42, 566763, $8.45, $8.5699, $8.31
04/21/2020, $8.28, 754950, $8.15, $8.5021, $8.1
04/20/2020, $8.37, 673295, $8.3, $8.652, $8.21
04/17/2020, $8.44, 620840, $8.78, $8.8547, $8.34
04/16/2020, $8.59, 750888, $8.8, $9.14, $8.4
04/15/2020, $8.72, 726859, $8, $8.86, $7.82
04/14/2020, $8.19, 456491, $8.08, $8.5, $8.08
04/13/2020, $7.99, 379930, $7.73, $8, $7.56
04/09/2020, $7.76, 710741, $8.13, $8.1912, $7.585
04/08/2020, $8.01, 537558, $8.05, $8.5, $7.95
04/07/2020, $7.94, 578522, $8.11, $8.35, $7.82
04/06/2020, $7.92, 728446, $7.78, $7.945, $7.5
04/03/2020, $7.45, 557791, $7.69, $7.8399, $7.06
04/02/2020, $7.69, 653501, $7.34, $7.8, $7.19
04/01/2020, $7.32, 348856, $7.34, $7.488, $7.18
03/31/2020, $7.59, 466055, $7.63, $7.89, $7.31
03/30/2020, $7.6, 707050, $7.5, $7.62, $7.03
03/27/2020, $7.48, 1426009, $6.76, $8.04, $6.3201
03/26/2020, $6.96, 937019, $7.52, $7.7467, $6.94
03/25/2020, $7.45, 495652, $7.78, $8.15, $7.34
03/24/2020, $7.7, 842847, $7.33, $7.7002, $7.05
03/23/2020, $6.9, 959551, $7.05, $7.5, $6.775
03/20/2020, $6.74, 1171748, $6.66, $7.96, $6.54
03/19/2020, $6.55, 1028712, $5.51, $6.6, $5.448
03/18/2020, $5.5, 1207379, $5.56, $5.81, $5
03/17/2020, $5.96, 1246528, $5.8, $6.14, $5.51
03/16/2020, $5.64, 763031, $5.53, $6.16, $5.36
03/13/2020, $6.11, 990656, $6.2, $6.23, $5.61
03/12/2020, $5.68, 1065200, $6.31, $6.5, $5.665
03/11/2020, $7.04, 939136, $7.83, $8.04, $6.99
03/10/2020, $8.12, 828849, $8.09, $8.2162, $7.72
03/09/2020, $7.72, 1214751, $8.07, $8.27, $7.5879
