Date, Close/Last, Volume, Open, High, Low
6/11/2020,$1.05 ,2401710,$1.10 ,$1.19 ,$1.04 
6/10/2020,$1.20 ,6995790,$1.06 ,$1.24 ,$1.01 
6/9/2020,$1.07 ,3209326,$1.09 ,$1.14 ,$1.03 
6/8/2020,$1 ,4957488,$0.94 ,$1.02 ,$0.91 
6/5/2020,$0.93 ,1574724,$0.96 ,$0.96 ,$0.90 
6/4/2020,$0.95 ,4247231,$0.93 ,$1.10 ,$0.91 
6/3/2020,$0.92 ,1447420,$0.94 ,$0.94 ,$0.90 
6/2/2020,$0.94 ,1380504,$0.95 ,$0.96 ,$0.92 
6/1/2020,$0.95 ,947965,$0.97 ,$0.97 ,$0.94 
5/29/2020,$0.97 ,1126248,$0.95 ,$0.97 ,$0.93 
5/28/2020,$0.96 ,951180,$0.98 ,$1 ,$0.95 
5/27/2020,$1 ,2212916,$1 ,$1.02 ,$0.94 
5/26/2020,$1.01 ,2768731,$0.99 ,$1.02 ,$0.94 
5/22/2020,$0.96 ,4162714,$0.93 ,$1.07 ,$0.92 
5/21/2020,$0.94 ,2179944,$0.91 ,$0.99 ,$0.90 
5/20/2020,$0.91 ,1224294,$0.92 ,$0.93 ,$0.90 
5/19/2020,$0.92 ,1284640,$0.94 ,$0.97 ,$0.91 
5/18/2020,$0.94 ,1901049,$0.93 ,$0.98 ,$0.91 
5/15/2020,$0.91 ,3207544,$0.90 ,$0.94 ,$0.88 
5/14/2020,$0.92 ,1484374,$0.95 ,$0.97 ,$0.87 
5/13/2020,$0.95 ,2979323,$1 ,$1.04 ,$0.91 
5/12/2020,$1.01 ,3353711,$0.98 ,$1.08 ,$0.95 
5/11/2020,$0.95 ,2664047,$0.99 ,$0.99 ,$0.93 
5/8/2020,$0.94 ,1298428,$0.93 ,$0.97 ,$0.91 
5/7/2020,$0.93 ,1301165,$0.91 ,$0.96 ,$0.89 
5/6/2020,$0.93 ,635102,$0.94 ,$0.96 ,$0.89 
5/5/2020,$0.94 ,1520336,$0.90 ,$0.98 ,$0.85 
5/4/2020,$0.90 ,663765,$0.88 ,$0.93 ,$0.85 
5/1/2020,$0.90 ,1259211,$0.91 ,$0.94 ,$0.88 
4/30/2020,$0.94 ,1430474,$0.94 ,$0.95 ,$0.91 
4/29/2020,$0.93 ,1340295,$0.96 ,$0.97 ,$0.90 
4/28/2020,$0.94 ,1214813,$0.99 ,$1.00 ,$0.93 
4/27/2020,$0.95 ,1519808,$0.94 ,$0.99 ,$0.92 
4/24/2020,$0.91 ,1546011,$0.88 ,$0.94 ,$0.87 
4/23/2020,$0.90 ,3880148,$0.87 ,$0.99 ,$0.84 
4/22/2020,$0.91 ,11622650,$1.18 ,$1.22 ,$0.90 
4/21/2020,$1.01 ,6720212,$0.90 ,$1.08 ,$0.87 
4/20/2020,$0.88 ,1603052,$0.88 ,$0.91 ,$0.81 
4/17/2020,$0.85 ,1977639,$0.90 ,$0.95 ,$0.83 
4/16/2020,$0.90 ,1594276,$0.98 ,$0.99 ,$0.82 
4/15/2020,$1 ,2722903,$0.90 ,$1.04 ,$0.88 
4/14/2020,$1.06 ,7867294,$0.78 ,$1.07 ,$0.76 
4/13/2020,$0.77 ,987064,$0.75 ,$0.78 ,$0.72 
4/9/2020,$0.78 ,1539529,$0.80 ,$0.82 ,$0.75 
4/8/2020,$0.86 ,4081709,$0.73 ,$0.92 ,$0.73 
4/7/2020,$0.73 ,1309703,$0.72 ,$0.76 ,$0.70 
4/6/2020,$0.73 ,2012132,$0.72 ,$0.78 ,$0.67 
4/3/2020,$0.71 ,1014302,$0.73 ,$0.73 ,$0.67 
