Date, Close/Last, Volume, Open, High, Low
06/17/2020, $11.005, 281578, $11.07, $11.32, $10.94
06/16/2020, $11.13, 342067, $11.34, $11.58, $11.03
06/15/2020, $10.77, 339357, $10.54, $10.8, $10.29
06/12/2020, $10.52, 304526, $10.68, $10.96, $10.2991
06/11/2020, $10.255, 469080, $11.12, $11.2, $10.255
06/10/2020, $11.5, 319641, $11.64, $11.64, $11.32
06/09/2020, $11.61, 309155, $11.92, $11.98, $11.52
06/08/2020, $12.06, 829725, $11.69, $12.49, $11.6376
06/05/2020, $11.51, 469806, $11.72, $11.86, $11.47
06/04/2020, $11.44, 420735, $11.5, $11.79, $11.29
06/03/2020, $11.62, 233799, $11.49, $11.83, $11.485
06/02/2020, $11.28, 262676, $11.76, $11.76, $11.05
06/01/2020, $11.74, 488150, $11.45, $11.94, $11.26
05/29/2020, $11.4, 440666, $11.05, $11.43, $10.73
05/28/2020, $11.14, 278936, $11.5, $11.62, $11.05
05/27/2020, $11.38, 327574, $11.35, $11.39, $10.95
05/26/2020, $11.14, 288622, $11.64, $11.72, $11.06
05/22/2020, $11.2, 214111, $10.89, $11.2, $10.81
05/21/2020, $10.94, 265068, $11, $11.25, $10.91
05/20/2020, $11.01, 281442, $11.05, $11.12, $10.8
05/19/2020, $11, 305733, $10.92, $11.305, $10.84
05/18/2020, $10.99, 402194, $10.97, $11.045, $10.585
05/15/2020, $10.4, 367539, $10.33, $10.65, $10.22
05/14/2020, $10.29, 287214, $10.15, $10.44, $9.97
05/13/2020, $10.28, 415545, $10.9, $11.1137, $9.965
05/12/2020, $11.06, 376631, $10.87, $11.4, $10.62
05/11/2020, $10.67, 564202, $11.25, $11.27, $10.6
05/08/2020, $11.385, 793050, $12, $12, $11.13
05/07/2020, $11.65, 1139682, $10.19, $11.92, $10.19
05/06/2020, $10.27, 410048, $10.09, $10.52, $9.9
05/05/2020, $10.07, 232571, $9.99, $10.4, $9.96
05/04/2020, $10, 404269, $9.8, $10.05, $9.65
05/01/2020, $9.98, 306710, $10, $10.11, $9.61
04/30/2020, $10.28, 290716, $10.52, $10.53, $10.1
04/29/2020, $10.67, 421818, $10.32, $10.81, $10.2
04/28/2020, $10.06, 269245, $10.23, $10.27, $9.83
04/27/2020, $9.99, 278869, $9.59, $10.24, $9.59
04/24/2020, $9.57, 271814, $9.31, $9.62, $9.3
04/23/2020, $9.28, 253518, $8.87, $9.56, $8.87
04/22/2020, $8.84, 339829, $8.87, $9.29, $8.66
04/21/2020, $8.67, 258722, $9.42, $9.569, $8.64
04/20/2020, $9.69, 619392, $9.31, $9.7813, $8.8706
04/17/2020, $9.49, 732301, $9.56, $10.11, $9.27
04/16/2020, $8.29, 295682, $8.22, $8.43, $8.01
04/15/2020, $8.25, 252749, $8.34, $8.43, $8.13
