Date, Close/Last, Volume, Open, High, Low
06/17/2020, $2.02, 49744, $2.06, $2.1, $2.02
06/16/2020, $2.08, 128692, $2.18, $2.24, $2.04
06/15/2020, $2.12, 95171, $1.92, $2.15, $1.8702
06/12/2020, $1.93, 76581, $1.78, $1.94, $1.67
06/11/2020, $1.84, 34503, $1.91, $1.93, $1.81
06/10/2020, $2.03, 56841, $1.975, $2.06, $1.935
06/09/2020, $2.03, 101354, $1.97, $2.04, $1.89
06/08/2020, $1.96, 55815, $1.99, $1.99, $1.91
06/05/2020, $1.93, 99955, $1.86, $1.97, $1.83
06/04/2020, $1.92, 53938, $1.85, $1.92, $1.8
06/03/2020, $1.85, 229859, $1.93, $2.06, $1.75
06/02/2020, $1.89, 191018, $1.67, $1.89, $1.6319
06/01/2020, $1.63, 22309, $1.63, $1.67, $1.63
05/29/2020, $1.65, 6900, $1.672, $1.68, $1.622
05/28/2020, $1.64, 35900, $1.65, $1.68, $1.64
05/27/2020, $1.66, 36689, $1.7, $1.7, $1.618
05/26/2020, $1.67, 30072, $1.71, $1.71, $1.66
05/22/2020, $1.64, 47330, $1.58, $1.64, $1.5521
05/21/2020, $1.58, 27919, $1.58, $1.6499, $1.55
05/20/2020, $1.61, 45053, $1.61, $1.64, $1.57
05/19/2020, $1.56, 84987, $1.65, $1.68, $1.56
05/18/2020, $1.5075, 23786, $1.52, $1.57, $1.495
05/15/2020, $1.51, 21300, $1.54, $1.54, $1.45
05/14/2020, $1.56, 12716, $1.49, $1.56, $1.49
05/13/2020, $1.5, 50974, $1.55, $1.55, $1.4
05/12/2020, $1.57, 60490, $1.59, $1.6299, $1.56
05/11/2020, $1.56, 23891, $1.61, $1.7, $1.56
05/08/2020, $1.6, 51908, $1.64, $1.69, $1.57
05/07/2020, $1.72, 13497, $1.7, $1.7279, $1.56
05/06/2020, $1.76, 70924, $1.764, $1.78, $1.71
05/05/2020, $1.75, 42974, $1.58, $1.75, $1.58
05/04/2020, $1.58, 28773, $1.6532, $1.6532, $1.54
