Date, Close/Last, Volume, Open, High, Low
06/17/2020, $3.04, 244065, $3.15, $3.17, $3
06/16/2020, $3.13, 304432, $3.27, $3.47, $3.1101
06/15/2020, $3.2, 247067, $3.22, $3.25, $3.05
06/12/2020, $3.25, 383341, $3.34, $3.5, $3.18
06/11/2020, $3.18, 783333, $3.11, $3.38, $2.8
06/10/2020, $3.53, 1711741, $4.17, $4.39, $3.33
06/09/2020, $4.055, 2013293, $3.45, $4.4, $3.3
06/08/2020, $3.45, 2362118, $2.74, $3.7397, $2.45
06/05/2020, $2.37, 287347, $2.52, $2.63, $2.36
06/04/2020, $2.31, 525569, $1.91, $2.43, $1.87
06/03/2020, $1.91, 52594, $1.9, $1.93, $1.87
06/02/2020, $1.9, 91394, $1.82, $1.95, $1.82
06/01/2020, $1.81, 24030, $1.82, $1.8307, $1.75
05/29/2020, $1.84, 34507, $1.85, $1.85, $1.79
05/28/2020, $1.83, 33150, $1.81, $1.84, $1.8
05/27/2020, $1.78, 46007, $1.89, $1.89, $1.78
05/26/2020, $1.88, 227329, $1.9, $1.93, $1.83
05/22/2020, $1.73, 147696, $1.76, $1.79, $1.65
05/21/2020, $1.78, 626727, $1.68, $2.16, $1.63
05/20/2020, $1.58, 135556, $1.6, $1.6, $1.5
05/19/2020, $1.6, 83346, $1.6, $1.71, $1.57
05/18/2020, $1.56, 189143, $1.92, $1.98, $1.5126
05/15/2020, $1.78, 440323, $1.79, $2.09, $1.75
05/14/2020, $2.22, 79980, $2.28, $2.28, $2.1002
05/13/2020, $2.19, 52483, $2.31, $2.31, $2.0807
05/12/2020, $2.32, 179340, $2.11, $2.38, $2.06
05/11/2020, $2.15, 50842, $2.21, $2.21, $2.1
05/08/2020, $2.21, 55791, $2.25, $2.31, $2.1501
05/07/2020, $2.27, 42682, $2.3, $2.3068, $2.21
05/06/2020, $2.3, 22074, $2.25, $2.3, $2.21
05/05/2020, $2.27, 50851, $2.26, $2.33, $2.2015
05/04/2020, $2.3, 16192, $2.35, $2.35, $2.18
05/01/2020, $2.3, 26606, $2.34, $2.45, $2.25
04/30/2020, $2.4, 27348, $2.36, $2.4, $2.32
04/29/2020, $2.38, 52050, $2.37, $2.4881, $2.26
04/28/2020, $2.395, 14669, $2.45, $2.55, $2.36
04/27/2020, $2.43, 56448, $2.4, $2.57, $2.38
04/24/2020, $2.44, 15624, $2.57, $2.57, $2.395
04/23/2020, $2.5, 33850, $2.44, $2.6, $2.3978
04/22/2020, $2.47, 70571, $2.2, $2.47, $2.2
04/21/2020, $2.22, 53365, $2.37, $2.37, $2.17
04/20/2020, $2.37, 60597, $2.56, $2.57, $2.34
04/17/2020, $2.52, 72151, $2.54, $2.7096, $2.51
04/16/2020, $2.64, 84294, $2.67, $2.79, $2.56
04/15/2020, $2.62, 84699, $2.81, $2.81, $2.53
04/14/2020, $2.87, 191504, $2.56, $3.06, $2.45
04/13/2020, $2.49, 25258, $2.52, $2.5213, $2.3328
04/09/2020, $2.52, 113606, $2.49, $2.59, $2.35
04/08/2020, $2.28, 69922, $2.2, $2.38, $2.16
04/07/2020, $2.22, 82143, $2.25, $2.39, $2.15
04/06/2020, $2.19, 107653, $2.07, $2.29, $2.07
04/03/2020, $2.03, 40104, $2.04, $2.17, $1.97
04/02/2020, $2, 101319, $2.04, $2.24, $2
04/01/2020, $2.08, 56448, $2.09, $2.1219, $2
03/31/2020, $2.2, 52455, $2.41, $2.41, $2.16
03/30/2020, $2.43, 35868, $2.48, $2.53, $2.25
03/27/2020, $2.48, 62314, $2.32, $2.5, $2.25
03/26/2020, $2.44, 120077, $2.28, $2.6007, $2.28
03/25/2020, $2.24, 179444, $2.03, $2.49, $1.97
03/24/2020, $2.03, 82094, $1.96, $2.09, $1.91
03/23/2020, $1.87, 68234, $1.87, $1.91, $1.8
03/20/2020, $1.99, 78532, $2.14, $2.14, $1.9207
03/19/2020, $2.14, 93185, $2.06, $2.18, $1.906
03/18/2020, $2.07, 205561, $2.19, $2.2158, $1.95
03/17/2020, $2.35, 122596, $2.02, $2.39, $2.01
03/16/2020, $2.09, 150077, $2.3, $2.416, $2.09
03/13/2020, $2.43, 188545, $2.45, $2.792, $2.3
03/12/2020, $2.31, 223679, $2.5, $2.5, $2.2
03/11/2020, $2.61, 198664, $2.8, $2.8499, $2.6
03/10/2020, $2.85, 315826, $2.8, $2.9599, $2.7
03/09/2020, $2.7, 321244, $2.84, $3, $2.5
03/06/2020, $3.08, 214108, $3.09, $3.27, $3.05
03/05/2020, $3.27, 386047, $3.6, $3.65, $3.1799
03/04/2020, $3.69, 382430, $4, $4.04, $3.6
03/03/2020, $4, 455195, $4.3, $4.35, $3.8
03/02/2020, $4.24, 448099, $4.71, $4.75, $4.12
02/28/2020, $4.5, 760189, $4, $4.54, $3.55
02/27/2020, $4.35, 979698, $5.34, $5.34, $4.2
02/26/2020, $5.55, 1542257, $4.59, $5.88, $4.5829
02/25/2020, $4.51, 3859270, $5.52, $6.49, $3.86
02/24/2020, $5.31, 1799422, $4, $5.35, $3.85
02/21/2020, $4.25, 1011072, $4.41, $4.5, $3.8
02/20/2020, $4.36, 1778787, $3.69, $4.5, $3.65
02/19/2020, $3.635, 782548, $3.3, $3.65, $3.2593
02/18/2020, $3.22, 876353, $2.99, $3.258, $2.91
02/14/2020, $2.9, 690324, $2.97, $2.99, $2.8
02/13/2020, $3.21, 1213999, $3.28, $3.384, $3.14
