Date, Close/Last, Volume, Open, High, Low
06/17/2020, $9.2, 243744, $8.84, $10.19, $8.7329
06/16/2020, $8.6, 38413, $8.56, $8.92, $8.56
06/15/2020, $8.4, 26823, $8.02, $8.67, $7.6935
06/12/2020, $8.61, 69625, $8.04, $8.62, $8.04
06/11/2020, $8.03, 112077, $8.86, $8.86, $7.92
06/10/2020, $8.87, 33719, $8.9, $9.1, $8.8
06/09/2020, $9.05, 63475, $8.9, $9.08, $8.53
06/08/2020, $8.93, 78158, $8.6, $9.05, $8.26
06/05/2020, $8.73, 78170, $9.42, $9.42, $8.68
06/04/2020, $8.86, 85428, $9.47, $9.53, $8.75
06/03/2020, $9.59, 137406, $9.67, $10.01, $9.31
06/02/2020, $9.6, 94810, $8.96, $9.6, $8.96
06/01/2020, $8.82, 113213, $8.67, $9.5, $8.5184
05/29/2020, $8.47, 118152, $8.75, $9.49, $8.1
05/28/2020, $8.63, 171112, $7.42, $8.73, $7.3
05/27/2020, $7.33, 44041, $7.12, $7.4862, $7
05/26/2020, $7.04, 98300, $7.5, $7.7499, $7
05/22/2020, $7.51, 38279, $7.62, $7.7965, $7.3838
05/21/2020, $7.61, 50114, $7.94, $7.9786, $7.28
05/20/2020, $7.98, 60284, $7.78, $8.2, $7.78
05/19/2020, $7.72, 51670, $7.54, $7.99, $7.54
05/18/2020, $7.56, 97229, $8.06, $8.53, $7.35
05/15/2020, $7.75, 140174, $9.22, $9.8, $7.51
05/14/2020, $8.78, 90675, $7.96, $9, $7.7
05/13/2020, $8.1, 88337, $8.89, $9, $7.9
05/12/2020, $8.79, 70092, $8.23, $9, $8.23
05/11/2020, $8.07, 99774, $8, $8.6638, $7.54
05/08/2020, $7.99, 48557, $7.99, $8, $7.5
05/07/2020, $7.5, 30511, $7.38, $7.9599, $7.1069
05/06/2020, $7.45, 17967, $7.79, $7.94, $7.35
05/05/2020, $7.92, 40369, $7.3, $8.149, $7.17
05/04/2020, $7.25, 12452, $7.52, $7.68, $7.16
05/01/2020, $7.45, 39759, $7.07, $7.75, $7.01
04/30/2020, $7.59, 22330, $7.68, $7.745, $7.23
04/29/2020, $7.67, 20302, $7.1807, $7.8, $7.1807
04/28/2020, $7.31, 57981, $7.45, $7.45, $6.69
04/27/2020, $7.52, 68355, $7.99, $8, $7.35
04/24/2020, $7.8, 98576, $7.87, $8.4, $7.5601
04/23/2020, $7.65, 54114, $6.85, $7.75, $6.7
04/22/2020, $7.45, 55028, $7.44, $7.6, $7.11
04/21/2020, $7.16, 90745, $6.91, $7.7, $6.855
04/20/2020, $6.65, 66501, $5.71, $7.39, $5.665
04/17/2020, $5.7101, 62010, $5.38, $5.86, $5.06
04/16/2020, $5.32, 62086, $5.05, $5.345, $4.96
04/15/2020, $5, 22848, $5.04, $5.0498, $4.88
04/14/2020, $4.9106, 55356, $5, $5.3453, $4.8809
04/13/2020, $4.76, 49045, $4.64, $4.8922, $4.46
04/09/2020, $4.38, 29481, $4.265, $4.4, $3.95
04/08/2020, $4.27, 35663, $4.178, $4.32, $4
04/07/2020, $4.3, 12665, $4.1, $4.44, $4.03
04/06/2020, $4.1, 13774, $4.44, $4.5, $4.1
04/03/2020, $4.31, 21783, $4.36, $4.49, $4.15
04/02/2020, $4.36, 18327, $3.8, $4.7, $3.72
04/01/2020, $4, 21770, $4.26, $4.445, $3.75
03/31/2020, $4.44, 22577, $4.546, $4.6, $4.25
03/30/2020, $4.15, 13764, $4.05, $4.6, $4.05
03/27/2020, $4.01, 27180, $4.36, $4.5, $4.01
03/26/2020, $4.35, 32483, $4.062, $4.45, $4.06
03/25/2020, $4.09, 28321, $4.32, $4.32, $4
03/24/2020, $4.32, 81143, $3.85, $4.67, $3.75
03/23/2020, $3.69, 144956, $2.3, $4.7, $2.3
03/20/2020, $2.34, 14968, $2.598, $2.62, $2.32
03/19/2020, $2.57, 19077, $2.87, $2.879, $2.3237
03/18/2020, $2.44, 9541, $2.519, $2.606, $2.27
03/17/2020, $2.69, 58394, $2.51, $3.07, $2.295
03/16/2020, $2.57, 14710, $2.8, $3.5, $2.5472
03/13/2020, $3, 84497, $3.11, $3.11, $1.94
03/12/2020, $2.79, 21424, $3.16, $3.2177, $2.79
03/11/2020, $3.5, 23543, $3.6106, $3.6106, $3.4
03/10/2020, $3.555, 12211, $3.781, $3.89, $3.51
03/09/2020, $3.5, 29980, $3.54, $3.99, $3.5
03/06/2020, $3.65, 13770, $3.84, $3.84, $3.58
03/05/2020, $3.85, 16554, $3.85, $3.85, $3.73
03/04/2020, $3.86, 9229, $3.915, $3.94, $3.7187
03/03/2020, $3.82, 18834, $3.96, $4.02, $3.54
03/02/2020, $3.8807, 37185, $4.5, $4.5, $3.675
02/28/2020, $3.96, 33392, $4.006, $4.05, $3.7675
02/27/2020, $4.05, 19998, $4.09, $4.4, $4
02/26/2020, $4.17, 45401, $4.56, $4.5955, $4.08
02/25/2020, $4.54, 17606, $4.86, $4.86, $4.53
02/24/2020, $4.88, 10619, $4.83, $4.975, $4.82
02/21/2020, $4.98, 3843, $4.84, $5.02, $4.84
02/20/2020, $5, 9565, $4.82, $5, $4.82
02/19/2020, $4.86, 7160, $4.72, $5, $4.72
02/18/2020, $4.72, 22656, $5.08, $5.1, $4.71
02/14/2020, $5.08, 14455, $4.88, $5.099, $4.88
02/13/2020, $5, 12021, $5, $5.1, $4.87
02/12/2020, $4.9, 2219, $4.89, $5.021, $4.89
02/11/2020, $4.95, 32385, $5.12, $5.26, $4.86
02/10/2020, $5.1, 9556, $4.94, $5.2, $4.89
02/07/2020, $4.97, 30526, $5.05, $5.37, $4.7175
02/06/2020, $5.17, 6141, $4.71, $5.1765, $4.6552
02/05/2020, $4.7, 23123, $5.1, $5.1, $4.61
02/04/2020, $5, 26122, $5.05, $5.2, $4.91
02/03/2020, $5, 16589, $4.97, $5.12, $4.9001
01/31/2020, $4.93, 5817, $4.75, $4.9899, $4.75
