Date, Close/Last, Volume, Open, High, Low
06/17/2020, $25.22, 2258, $25.27, $25.33, $25.14
06/16/2020, $25.18, 2921, $24.92, $25.2413, $24.92
06/15/2020, $24.97, 4303, $24, $25, $24
06/12/2020, $23.936, 3927, $23.37, $23.99, $23.37
06/11/2020, $22.88, 2819, $22.76, $22.88, $22.734
06/10/2020, $22.86, 3412, $22.44, $22.86, $22.33
06/09/2020, $22.41, 2262, $22.4, $22.43, $22.261
06/08/2020, $22.41, 2615, $22.14, $22.46, $22.14
06/05/2020, $22.32, 2854, $22.25, $22.32, $22.16
06/04/2020, $21.9, 3605, $21.78, $21.922, $21.75
06/03/2020, $21.73, 2633, $21.56, $21.77, $21.55
06/02/2020, $21.57, 2858, $21.54, $21.62, $21.41
06/01/2020, $21.57, 2264, $21.37, $21.57, $21.37
05/29/2020, $21.29, 2479, $21.06, $21.29, $21.06
05/28/2020, $21, 2239, $20.92, $21.03, $20.92
05/27/2020, $20.89, 3246, $21.01, $21.01, $20.88
05/26/2020, $21.06, 2355, $20.7, $21.21, $20.7
05/22/2020, $20.514, 2765, $20.2, $20.825, $20.2
05/21/2020, $20.29, 2858, $20.5, $20.63, $20.01
05/20/2020, $20.67, 2577, $20.905, $21, $20.43
05/19/2020, $20.67, 2432, $20.6, $20.9299, $20.6
05/18/2020, $20.54, 4256, $20.58, $20.63, $20.46
05/15/2020, $20.52, 3018, $20.2, $20.52, $20.16
05/14/2020, $20.0156, 3749, $19.78, $20.11, $19.78
05/13/2020, $19.85, 3198, $19.6, $19.85, $19.5689
05/12/2020, $19.48, 3936, $19.39, $19.49, $19.28
05/11/2020, $19.05, 5077, $19.6, $19.65, $19.05
05/08/2020, $19.74, 2690, $19.49, $19.74, $19.49
05/07/2020, $19.55, 3593, $19.35, $19.55, $19.35
05/06/2020, $19.22, 2916, $19, $19.2678, $19
05/05/2020, $18.9, 2862, $18.68, $18.9, $18.68
05/04/2020, $18.6897, 3190, $18.48, $18.6897, $18.44
