Date, Close/Last, Volume, Open, High, Low
06/17/2020, $20.6, 186487, $21.55, $21.77, $20.52
06/16/2020, $21.62, 143074, $21.49, $21.7, $20.97
06/15/2020, $20.77, 184578, $19.51, $20.87, $19.51
06/12/2020, $20.28, 145979, $20.96, $21.28, $19.83
06/11/2020, $20.16, 377159, $21.05, $21.05, $19.89
06/10/2020, $21.52, 357862, $23.38, $23.73, $21.27
06/09/2020, $23.5, 246673, $23.34, $23.79, $23.054
06/08/2020, $23.89, 242005, $24.2, $24.34, $23.355
06/05/2020, $23.68, 344005, $22.58, $23.87, $22.45
06/04/2020, $22.01, 319282, $21.15, $22.39, $21.15
06/03/2020, $21.41, 224463, $20.44, $21.54, $20.26
06/02/2020, $20.02, 714423, $20.21, $20.39, $19.47
06/01/2020, $20.13, 312183, $19.28, $20.625, $19.28
05/29/2020, $19.23, 392809, $18.97, $19.28, $18.38
05/28/2020, $19.43, 207464, $20.4, $20.56, $19.34
05/27/2020, $20.1, 239171, $20.33, $20.365, $19.31
05/26/2020, $20.07, 251694, $19.94, $21, $19.9
05/22/2020, $19.59, 411420, $20.73, $20.81, $18.08
05/21/2020, $20.09, 220602, $19.4, $20.32, $19.33
05/20/2020, $19.31, 136687, $18.72, $19.68, $18.72
05/19/2020, $18.4, 129201, $18.93, $18.99, $18.36
05/18/2020, $18.9, 154604, $18.27, $18.98, $18.2
05/15/2020, $17.57, 103534, $16.98, $17.67, $16.79
05/14/2020, $17.05, 155814, $16.39, $17.08, $15.98
05/13/2020, $16.73, 165974, $17.55, $17.91, $16.62
05/12/2020, $17.6, 233636, $18.24, $18.57, $17.6
05/11/2020, $18.12, 212927, $18.35, $18.52, $17.83
05/08/2020, $18.72, 169399, $18.5, $18.85, $17.98
05/07/2020, $18.26, 255104, $17.17, $18.41, $17.14
05/06/2020, $16.94, 177926, $18.43, $18.54, $16.91
05/05/2020, $18.23, 252518, $18.74, $19.09, $18.09
05/04/2020, $18.29, 185814, $18, $18.62, $17.74
05/01/2020, $18.06, 217902, $19.22, $19.725, $17.61
04/30/2020, $19.59, 181314, $19.96, $20.175, $19.395
04/29/2020, $20.12, 474400, $19.53, $21.06, $18.93
04/28/2020, $18.82, 164289, $18.98, $19, $18.21
04/27/2020, $18.43, 134276, $17.75, $18.49, $17.51
04/24/2020, $17.45, 133273, $17.72, $17.86, $17.11
04/23/2020, $17.43, 218217, $17.35, $17.77, $17.1154
04/22/2020, $17.39, 188722, $16.64, $17.92, $16.43
04/21/2020, $16.26, 210300, $16.84, $16.84, $15.51
04/20/2020, $17.44, 119954, $17.07, $17.98, $17.051
04/17/2020, $17.25, 194113, $16.51, $17.35, $16.4858
04/16/2020, $15.96, 189805, $16.82, $17.41, $15.69
04/15/2020, $17.13, 231260, $17.49, $18.205, $16.72
04/14/2020, $18.06, 258356, $18.59, $19.07, $17.8
04/13/2020, $18.24, 267894, $18.9, $19.21, $17.8541
04/09/2020, $18.92, 398585, $19.5, $20.3696, $18.64
04/08/2020, $18.83, 439384, $17.34, $19.23, $17.25
04/07/2020, $16.84, 312864, $17.34, $18, $16.84
04/06/2020, $16.35, 502735, $14.71, $16.84, $14.5
04/03/2020, $14.13, 250888, $15.76, $15.81, $13.88
04/02/2020, $15.81, 241761, $15.41, $16.91, $15.29
04/01/2020, $15.55, 237278, $16.28, $16.56, $15.29
03/31/2020, $16.7, 275002, $15.75, $17.19, $15.5
03/30/2020, $15.75, 318638, $15.84, $16.04, $15.34
03/27/2020, $15.87, 277207, $16.5, $17.08, $15.58
03/26/2020, $17.02, 333035, $16.74, $18.54, $16.55
03/25/2020, $16.7, 409161, $15.15, $17.08, $14.605
03/24/2020, $15.3, 360772, $15.1, $16.2127, $14.56
03/23/2020, $14.63, 550149, $14.5, $14.88, $13.3465
03/20/2020, $14.12, 415189, $15.14, $15.65, $13.6308
03/19/2020, $14.85, 333037, $13, $15.122, $12.67
03/18/2020, $13, 289341, $16.21, $16.97, $12.61
03/17/2020, $17.09, 382077, $17.84, $18.62, $16.16
03/16/2020, $17.36, 496096, $17.55, $18.45, $16.4
03/13/2020, $20.46, 537322, $22, $22.05, $18.9001
03/12/2020, $20.84, 420301, $22.81, $22.81, $19.64
03/11/2020, $24.45, 356520, $23.8, $24.97, $23.8
03/10/2020, $24.4, 310219, $24.82, $25.61, $23.785
03/09/2020, $24.25, 236476, $24.89, $25.98, $24.14
03/06/2020, $26.37, 276727, $27.32, $27.7, $25.975
03/05/2020, $28.1, 273402, $28.3, $29.1, $27.79
03/04/2020, $28.9, 384711, $30.74, $30.82, $28.73
03/03/2020, $30.23, 754191, $32.79, $32.98, $30.03
03/02/2020, $32.4, 274131, $32.52, $32.96, $31.95
02/28/2020, $32.13, 365269, $30.56, $32.42, $30.2682
02/27/2020, $30.88, 213114, $30.99, $31.98, $30.5476
02/26/2020, $31.585, 237995, $32.8, $33.05, $31.4
02/25/2020, $32.58, 98000, $33.55, $33.79, $32.54
02/24/2020, $33.5, 98129, $33.7, $34.24, $33.12
02/21/2020, $34.48, 138670, $34.73, $34.73, $34.04
02/20/2020, $35, 253248, $35.47, $35.51, $34.15
02/19/2020, $35.68, 180765, $35.68, $35.96, $35.48
02/18/2020, $35.62, 112260, $36.3, $36.66, $35.6
02/14/2020, $36.4, 101065, $36.68, $36.89, $36.26
02/13/2020, $36.85, 95372, $36.13, $37.17, $36.13
02/12/2020, $36.2, 195662, $36.77, $36.81, $35.84
02/11/2020, $36.51, 221068, $36.81, $37.05, $36.18
02/10/2020, $36.6, 132030, $35.97, $36.68, $35.82
02/07/2020, $35.97, 232153, $36.16, $36.19, $35.58
02/06/2020, $36.2, 157556, $35.66, $36.35, $35.34
02/05/2020, $35.45, 279085, $34.65, $35.53, $34.35
02/04/2020, $34.155, 371108, $32.77, $34.17, $32.59
02/03/2020, $32.5, 490376, $32.72, $33.55, $32.44
01/31/2020, $32.5, 371108, $33.2, $34, $32.36
01/30/2020, $33, 434125, $33.03, $33.49, $32.44
01/29/2020, $33.46, 1052540, $34.49, $36.25, $33.3
01/28/2020, $31.09, 333726, $30.22, $31.1, $30.06
01/27/2020, $30.21, 227721, $29.66, $30.32, $29.26
01/24/2020, $30.08, 195287, $29.36, $30.18, $29.36
01/23/2020, $29.16, 161230, $28.57, $29.22, $28.27
01/22/2020, $28.61, 365656, $28.68, $29.62, $28.523
01/21/2020, $28.635, 168863, $28.24, $28.75, $28.24
01/17/2020, $28.18, 151540, $27.79, $28.38, $27.46
01/16/2020, $27.67, 173101, $26.5, $27.69, $26.5
01/15/2020, $26.29, 155659, $26, $26.45, $25.95
01/14/2020, $25.85, 92750, $26.08, $26.13, $25.78
01/13/2020, $26.11, 62060, $25.97, $26.25, $25.85
01/10/2020, $25.915, 71813, $25.79, $26.01, $25.68
01/09/2020, $25.77, 108954, $25.95, $26, $25.7
01/08/2020, $25.77, 83802, $25.7, $25.95, $25.63
01/07/2020, $25.71, 71198, $25.6, $25.76, $25.46
01/06/2020, $25.71, 109838, $25.67, $25.95, $25.5
01/03/2020, $25.79, 124674, $25.56, $26.01, $25.5
01/02/2020, $25.81, 82374, $25.54, $25.84, $25.43
12/31/2019, $25.41, 122867, $25.4, $25.83, $25.265
12/30/2019, $25.41, 82053, $25.42, $25.53, $24.99
12/27/2019, $25.5, 81057, $25.29, $25.55, $25.05
12/26/2019, $25.35, 58821, $25.61, $25.6324, $25.26
12/24/2019, $25.58, 37288, $25.53, $25.66, $25.35
12/23/2019, $25.58, 94409, $26.12, $26.13, $25.41
12/20/2019, $26.14, 345315, $25.47, $26.15, $25.45
12/19/2019, $25.52, 84926, $25.17, $25.56, $25.04
12/18/2019, $25.17, 192617, $24.92, $25.39, $24.8
