Date, Close/Last, Volume, Open, High, Low
06/17/2020, $9.93, 90140, $10.36, $10.53, $9.91
06/16/2020, $10.23, 125752, $10.27, $10.47, $9.73
06/15/2020, $9.86, 157449, $10.39, $10.39, $9.57
06/12/2020, $10.31, 193201, $10.86, $10.86, $10.08
06/11/2020, $10.36, 208264, $10.54, $10.65, $10.3
06/10/2020, $10.6, 207964, $11.5, $11.85, $10.6
06/09/2020, $11.31, 269665, $9.5, $11.49, $9.25
06/08/2020, $9.65, 78623, $9.44, $9.8, $9.27
06/05/2020, $9.3, 87280, $9.69, $9.74, $9.2235
06/04/2020, $9.34, 80892, $9.26, $9.57, $9.1
06/03/2020, $9.32, 60664, $9.45, $9.56, $9.225
06/02/2020, $9.3, 67407, $9.25, $9.33, $8.87
06/01/2020, $9.15, 63386, $8.94, $9.41, $8.82
05/29/2020, $9.03, 37806, $8.81, $9.035, $8.67
05/28/2020, $8.88, 36234, $9.55, $9.6583, $8.88
05/27/2020, $9.39, 48918, $8.67, $9.43, $8.67
05/26/2020, $8.56, 65795, $8.23, $9.07, $8.21
05/22/2020, $8.11, 100303, $8.1, $8.3, $8.07
05/21/2020, $8.14, 57027, $7.92, $8.25, $7.92
05/20/2020, $7.78, 42451, $8.08, $8.18, $7.65
05/19/2020, $8.03, 74585, $8.26, $8.54, $8
05/18/2020, $8.3, 58884, $8.38, $8.6, $8.21
05/15/2020, $8.14, 31979, $8.36, $8.36, $8.02
05/14/2020, $8.35, 40601, $8.25, $8.54, $7.9674
05/13/2020, $8.26, 44336, $7.955, $8.3, $7.95
05/12/2020, $8.19, 69991, $8.98, $9.045, $8.165
05/11/2020, $8.84, 65178, $8.51, $9.37, $8.29
05/08/2020, $8.68, 36927, $8.14, $8.75, $8.14
05/07/2020, $7.84, 40039, $7.625, $7.85, $7.49
05/06/2020, $7.5, 29897, $7.46, $7.6078, $7.23
05/05/2020, $7.29, 37951, $8.12, $8.12, $7.27
05/04/2020, $7.65, 55537, $7.9, $8.3, $7.58
05/01/2020, $7.91, 36389, $7.83, $7.96, $7.5339
04/30/2020, $8.09, 32438, $8.44, $8.724, $8.06
04/29/2020, $8.58, 91477, $8.66, $9.04, $8.53
04/28/2020, $8.38, 45272, $8.79, $9.0149, $8.23
04/27/2020, $8.6, 69788, $7.7025, $8.61, $7.7025
04/24/2020, $7.73, 18670, $7.7, $7.8, $7.59
04/23/2020, $7.65, 44193, $7.495, $7.8, $7.42
04/22/2020, $7.48, 38992, $7.35, $7.48, $7.35
04/21/2020, $7.2, 51746, $7.2, $7.3573, $7.16
04/20/2020, $7.15, 25131, $7.08, $7.47, $7.005
04/17/2020, $7.12, 26609, $7.03, $7.16, $6.965
04/16/2020, $6.86, 35840, $7.34, $7.39, $6.81
04/15/2020, $7.36, 95452, $6.69, $7.47, $6.53
04/14/2020, $6.95, 63695, $6.82, $7.13, $6.7499
04/13/2020, $6.67, 38942, $6.8, $6.8, $6.55
04/09/2020, $6.88, 43856, $7.28, $7.4, $6.75
04/08/2020, $7.09, 66982, $6.53, $7.38, $6.5
04/07/2020, $6.45, 64353, $6.65, $6.82, $6.43
04/06/2020, $6.44, 25746, $6.29, $6.48, $6.29
04/03/2020, $6.02, 51691, $6.5, $6.5, $6.02
04/02/2020, $6.48, 30475, $6.59, $7.18, $6.3275
04/01/2020, $6.61, 79001, $7.08, $7.08, $6.55
03/31/2020, $7.39, 73957, $7.32, $7.55, $6.65
03/30/2020, $6.93, 26920, $6.91, $7.44, $6.75
03/27/2020, $6.86, 32275, $7.16, $7.29, $6.84
03/26/2020, $7.38, 56590, $7.03, $7.52, $7.02
03/25/2020, $6.985, 87528, $6.99, $7.54, $6.93
03/24/2020, $7.17, 104603, $6.2, $7.18, $6.2
03/23/2020, $5.96, 125992, $6, $6, $5.63
03/20/2020, $6.15, 102549, $6.99, $7.12, $6.15
03/19/2020, $6.98, 53028, $6.36, $7.02, $6.35
03/18/2020, $6.61, 73931, $7.3, $8.15, $6.25
03/17/2020, $8.11, 111127, $6.77, $8.35, $6.66
03/16/2020, $6.66, 140366, $7.1, $7.85, $6.59
03/13/2020, $6.89, 69033, $6.84, $6.9099, $6.285
03/12/2020, $6.53, 62996, $6.95, $6.95, $6.52
03/11/2020, $7.22, 56066, $7.29, $7.34, $7
03/10/2020, $7.26, 79443, $7.14, $7.31, $6.8792
03/09/2020, $7.14, 49759, $7.19, $7.46, $7.05
03/06/2020, $7.83, 36611, $7.61, $8.1, $7.61
03/05/2020, $7.93, 36584, $8.13, $8.41, $7.77
03/04/2020, $8.36, 30261, $8.15, $8.42, $7.96
03/03/2020, $8.02, 36949, $8.01, $8.28, $7.9
03/02/2020, $7.98, 129552, $7.85, $8.1679, $7.7
02/28/2020, $7.89, 80543, $7.98, $8.11, $7.775
02/27/2020, $8.22, 86446, $8.46, $8.5, $8.13
02/26/2020, $8.61, 44075, $8.58, $8.72, $8.51
02/25/2020, $8.56, 83861, $9.06, $9.06, $8.51
02/24/2020, $9.09, 56965, $9.33, $9.56, $8.96
02/21/2020, $9.62, 163130, $10.3, $10.3, $9.38
02/20/2020, $9.11, 50148, $9.06, $9.3399, $9
02/19/2020, $9.03, 34410, $9.13, $9.19, $8.86
02/18/2020, $9.08, 33542, $8.97, $9.17, $8.97
02/14/2020, $8.96, 63656, $8.79, $9.07, $8.74
02/13/2020, $8.78, 75538, $8.8468, $8.8468, $8.71
