Date, Close/Last, Volume, Open, High, Low
06/17/2020, $101.41, 1886504, $100.69, $102.6, $100.3
06/16/2020, $100.04, 2411574, $102.895, $102.895, $99.05
06/15/2020, $100.54, 1593347, $99.68, $101.4, $99.5875
06/12/2020, $100.34, 1501696, $102.04, $103.19, $99.64
06/11/2020, $100.48, 1574229, $102.89, $104.42, $100.36
06/10/2020, $103.85, 1414454, $103.5, $104.56, $102.6
06/09/2020, $102.73, 1201856, $103.26, $103.26, $101.1
06/08/2020, $103.38, 1686290, $99.48, $103.59, $99.165
06/05/2020, $99, 2962848, $101.32, $101.83, $98.14
06/04/2020, $101.84, 1933036, $102.21, $103.68, $101.51
06/03/2020, $103.01, 1961263, $105.5, $105.5, $102.42
06/02/2020, $105.53, 2047666, $106.147, $106.45, $102.59
06/01/2020, $105.71, 1695783, $105.05, $106.46, $103.03
05/29/2020, $105.8, 6083167, $103.76, $106.27, $102.23
05/28/2020, $102.91, 1742107, $99.91, $104.49, $99.91
05/27/2020, $99.97, 1569450, $99.35, $99.99, $97.25
05/26/2020, $100.08, 1523358, $102, $102.17, $99.83
05/22/2020, $100.42, 1177949, $100.65, $101.26, $99.885
05/21/2020, $101, 1604634, $100.46, $101.94, $99.8
05/20/2020, $100.58, 1665787, $98.79, $100.88, $98.46
05/19/2020, $97.3, 1247988, $98.27, $99.35, $97.26
05/18/2020, $98.1, 1783420, $98.8, $99.62, $97
05/15/2020, $98.09, 3004396, $96.09, $99.015, $95.71
05/14/2020, $97.23, 1765366, $95.2, $97.26, $94.21
05/13/2020, $95.37, 2321183, $97, $97.59, $94.4
05/12/2020, $95.76, 2804034, $102.54, $102.69, $95.75
05/11/2020, $101.89, 1360288, $101.31, $103.1462, $100.76
05/08/2020, $101.15, 1213300, $101.52, $101.81, $100.35
05/07/2020, $100.6, 1905106, $101.28, $102.47, $99.88
05/06/2020, $99.17, 1566974, $100.36, $100.84, $98.88
05/05/2020, $99.19, 1941996, $98.92, $100.47, $97.83
05/04/2020, $97.6, 1929752, $96.05, $97.64, $95.53
05/01/2020, $95.86, 1913862, $96.36, $97.87, $94.92
04/30/2020, $97.71, 3496729, $96.84, $97.95, $94.61
04/29/2020, $97.87, 10771660, $98.06, $98.51, $92.79
04/28/2020, $101.93, 2975395, $104.78, $104.78, $101.71
04/27/2020, $103.07, 2227947, $104.39, $104.39, $101.335
04/24/2020, $102.78, 2293585, $101.1, $102.83, $99.74
04/23/2020, $102.26, 2273020, $104.81, $104.81, $101.56
04/22/2020, $104.29, 1664028, $104.86, $105.93, $102.58
04/21/2020, $103.36, 1462568, $106.23, $107.391, $101.74
04/20/2020, $106.24, 2305102, $106.88, $108.25, $105.13
04/17/2020, $105.35, 3013706, $106.89, $107.04, $102.8
04/16/2020, $105.84, 3617059, $100.63, $107.22, $100.31
04/15/2020, $100.39, 1989555, $100.5, $100.88, $98.86
04/14/2020, $100.5, 2101648, $98.13, $101.25, $97.01
04/13/2020, $95.19, 2018395, $95, $95.365, $93.12
04/09/2020, $95.39, 2036632, $97.04, $97.79, $94.94
04/08/2020, $97.37, 1477734, $96.27, $97.77, $95.4
04/07/2020, $95.23, 2308701, $98.26, $99.43, $94.65
04/06/2020, $97.79, 2191639, $98.13, $98.4, $95.4
04/03/2020, $95.36, 2035570, $94.21, $96.69, $93.48
04/02/2020, $93.12, 2028147, $91.44, $95.96, $90.7501
04/01/2020, $91.6, 2357774, $89.24, $92.89, $88.75
03/31/2020, $91.49, 1741713, $92.89, $95.1, $91.29
03/30/2020, $94.19, 2335486, $92.09, $94.5, $90.32
03/27/2020, $90.61, 2736633, $93.03, $93.1, $88.93
03/26/2020, $94.38, 2919716, $90.02, $94.86, $86.74
03/25/2020, $89.35, 2704008, $90.12, $93.78, $88.48
03/24/2020, $89.98, 2369959, $87.29, $90.25, $85.33
03/23/2020, $85.54, 3185492, $84.16, $88.21, $81.8
03/20/2020, $82.37, 3468913, $90.02, $90.03, $81.95
03/19/2020, $88.85, 2966776, $93.7, $98.255, $88.44
03/18/2020, $97.1, 4423232, $82.47, $97.645, $82.47
03/17/2020, $88.43, 3271930, $85.31, $90.9, $82.33
03/16/2020, $83.23, 2789913, $76.75, $87.37, $75.1801
03/13/2020, $85.73, 2820407, $84.38, $86.93, $81.1558
03/12/2020, $80.05, 3202603, $81.62, $88.8, $79.81
03/11/2020, $87.02, 2531030, $84.22, $87.84, $84.11
03/10/2020, $86.15, 2058796, $84.79, $86.82, $82.435
03/09/2020, $82.62, 1898296, $83.8, $86.685, $82.46
03/06/2020, $90.62, 2097221, $89.78, $91.19, $88.03
03/05/2020, $92.98, 1903736, $92.13, $93.86, $91.77
03/04/2020, $94.9, 1507117, $91.96, $95, $91.27
03/03/2020, $90.28, 2616485, $90.53, $93.09, $89.15
03/02/2020, $90.91, 1726810, $87.31, $90.92, $86.6
02/28/2020, $86.51, 3279654, $86.61, $87.8, $84.28
02/27/2020, $89.31, 1706676, $90.7, $92.42, $89
02/26/2020, $92.54, 1635237, $94.57, $95.58, $92.48
02/25/2020, $93.73, 1293881, $97.62, $98.32, $93.525
02/24/2020, $97.11, 1514131, $97.1, $98.54, $95.89
02/21/2020, $100.52, 1132070, $101.4, $102, $99.34
02/20/2020, $101.47, 1474213, $101.9, $103.34, $100.82
02/19/2020, $102.56, 1274712, $101.2, $102.985, $101.19
02/18/2020, $100.96, 1527854, $99.29, $101.24, $98.77
02/14/2020, $99.67, 1053354, $99.77, $100.38, $98.9
02/13/2020, $99.6, 1914166, $96.7, $100.49, $96.53
02/12/2020, $97.45, 4497907, $99.95, $103.29, $97
02/11/2020, $96.37, 1834255, $96.21, $96.87, $95.76
02/10/2020, $95.76, 1387078, $95.66, $96.17, $95.18
02/07/2020, $96.12, 1242820, $96.43, $97.4003, $95.77
02/06/2020, $96.95, 776475, $96.32, $97.2, $96
02/05/2020, $95.95, 915884, $95.74, $96.04, $94.91
02/04/2020, $95.22, 1055647, $94.8, $95.29, $94.21
02/03/2020, $93.68, 820336, $94.01, $94.28, $93.33
01/31/2020, $93.35, 1020152, $94.49, $94.49, $92.97
01/30/2020, $94.61, 852077, $94.49, $95.27, $93.4
01/29/2020, $94.84, 922653, $95.2, $95.88, $94.75
01/28/2020, $94.83, 851445, $94.73, $95.43, $94.49
01/27/2020, $94.23, 845887, $94.06, $94.72, $93.81
01/24/2020, $95.52, 1004876, $97.2, $97.75, $95.17
01/23/2020, $96.44, 817883, $95.5, $96.89, $94.98
01/22/2020, $95.585, 902377, $95.51, $96.15, $95.29
01/21/2020, $94.95, 1353145, $94.92, $95.48, $94.5549
01/17/2020, $95.31, 944056, $96, $96, $94.7
01/16/2020, $95.82, 1274652, $95.61, $95.85, $94.89
01/15/2020, $95.12, 1106992, $94.14, $95.81, $94
01/14/2020, $93.93, 1090277, $94.58, $94.59, $93.245
01/13/2020, $94.68, 1066596, $94, $95.36, $93.83
01/10/2020, $93.53, 1183819, $93.59, $93.96, $92.73
01/09/2020, $93.19, 1639613, $92, $93.22, $91.83
01/08/2020, $91.4, 1899024, $90.54, $91.97, $89.99
01/07/2020, $90.2, 2476356, $88.96, $91.15, $88.41
01/06/2020, $87.55, 1394159, $86.65, $87.58, $86.61
01/03/2020, $87.24, 865924, $86.44, $87.5, $86.4
01/02/2020, $87.64, 1079893, $86.84, $87.83, $86.53
12/31/2019, $86.38, 663639, $85.73, $86.46, $85.3529
12/30/2019, $85.88, 619268, $86.44, $86.59, $85.26
12/27/2019, $86.5, 665303, $86.07, $86.69, $85.869
12/26/2019, $86.34, 724366, $85.59, $86.58, $85.59
12/24/2019, $85.73, 277440, $86.16, $86.16, $85.63
12/23/2019, $85.91, 968669, $86.74, $86.9, $85.72
12/20/2019, $86.86, 3635668, $85.3, $87, $83.91
12/19/2019, $84.51, 1922858, $84.76, $85, $83.95
12/18/2019, $84.9, 1333562, $84.44, $85.38, $84.05
