Date, Close/Last, Volume, Open, High, Low
06/17/2020, $7.63, 463483, $7.99, $8.01, $7.532
06/16/2020, $7.99, 536599, $8.1, $8.12, $7.82
06/15/2020, $7.82, 461611, $7.46, $7.88, $7.3
06/12/2020, $7.69, 488529, $7.66, $7.84, $7.36
06/11/2020, $7.45, 666158, $7.63, $7.89, $7.25
06/10/2020, $8.02, 365905, $8.12, $8.2669, $7.92
06/09/2020, $8.15, 358118, $8.18, $8.27, $8.01
06/08/2020, $8.29, 723396, $8, $8.54, $7.999
06/05/2020, $7.83, 407354, $7.72, $7.9694, $7.63
06/04/2020, $7.65, 314452, $7.86, $7.93, $7.5
06/03/2020, $7.93, 408267, $7.78, $8.07, $7.7731
06/02/2020, $7.71, 336538, $7.84, $7.87, $7.57
06/01/2020, $7.84, 573633, $7.42, $7.98, $7.3
05/29/2020, $7.39, 610265, $7.36, $7.52, $7.17
05/28/2020, $7.32, 623346, $7.9, $8, $7.29
05/27/2020, $7.91, 593197, $8.3, $8.3, $7.71
05/26/2020, $8.225, 532560, $8.41, $8.5, $8.21
05/22/2020, $8.22, 458798, $8.39, $8.3999, $8
05/21/2020, $8.21, 1347406, $7.86, $8.49, $7.8
05/20/2020, $7.94, 408843, $7.85, $8.09, $7.71
05/19/2020, $7.67, 602791, $8, $8.1, $7.63
05/18/2020, $8, 503125, $7.89, $8.08, $7.76
05/15/2020, $7.74, 418239, $7.51, $7.97, $7.3201
05/14/2020, $7.61, 469986, $7.27, $7.641, $7
05/13/2020, $7.28, 967103, $8.1, $8.1676, $7.25
05/12/2020, $8.17, 430677, $8.48, $8.5, $8.15
05/11/2020, $8.49, 721803, $8.45, $8.55, $8.05
05/08/2020, $8.725, 587988, $8.5, $8.985, $8.35
05/07/2020, $8.38, 629698, $8.74, $8.83, $8.25
05/06/2020, $8.67, 601156, $8.55, $8.89, $8.51
05/05/2020, $8.46, 931345, $8.09, $8.8738, $8.07
05/04/2020, $7.92, 783173, $8.28, $8.36, $7.75
05/01/2020, $8.08, 1162080, $8.74, $8.93, $7.69
04/30/2020, $9.06, 882011, $8.98, $9.31, $8.77
04/29/2020, $8.94, 1162471, $8.8, $9.25, $8.6133
04/28/2020, $8.58, 1062513, $8.96, $8.98, $8.42
04/27/2020, $8.69, 1124464, $8.38, $8.98, $8.19
04/24/2020, $8.19, 734943, $8.09, $8.3, $7.7543
04/23/2020, $8.08, 992874, $8.5, $8.63, $7.93
04/22/2020, $8.37, 2995081, $7.3, $8.63, $7.3
