Date, Close/Last, Volume, Open, High, Low
06/17/2020, $10.54, 246133, $10.5, $10.61, $10.29
06/16/2020, $10.46, 146281, $10.5, $10.62, $10.37
06/15/2020, $10.24, 126198, $9.92, $10.31, $9.85
06/12/2020, $10.16, 148463, $10.23, $10.34, $9.92
06/11/2020, $10.03, 273501, $10.38, $10.46, $10.01
06/10/2020, $10.64, 93596, $10.81, $10.815, $10.54
06/09/2020, $10.76, 181956, $10.82, $10.87, $10.58
06/08/2020, $10.89, 139179, $10.99, $10.99, $10.78
06/05/2020, $10.88, 226945, $10.78, $11.12, $10.72
06/04/2020, $10.665, 302226, $10.79, $10.91, $10.4419
06/03/2020, $10.7, 781640, $10.25, $10.75, $10
06/02/2020, $10.2, 724782, $10.63, $10.68, $10.19
06/01/2020, $10.6, 206995, $10.67, $11, $10.57
05/29/2020, $10.67, 103502, $10.6, $10.72, $10.49
05/28/2020, $10.49, 254662, $10.56, $10.75, $10.47
05/27/2020, $10.55, 297920, $11.29, $11.29, $10.49
05/26/2020, $11.32, 240677, $11.95, $11.95, $11.16
05/22/2020, $11.69, 135145, $11.66, $11.71, $11.41
05/21/2020, $11.66, 208375, $11.9, $12.0839, $11.5601
05/20/2020, $12.02, 991802, $10.6, $12.57, $10.6
05/19/2020, $10.54, 172413, $10.69, $10.86, $10.5
05/18/2020, $10.69, 227478, $10.84, $10.92, $10.53
05/15/2020, $10.52, 241080, $10.27, $10.53, $9.94
05/14/2020, $10.46, 338344, $10.8, $10.8, $10.19
05/13/2020, $10.95, 258369, $11.75, $11.75, $10.825
05/12/2020, $11.75, 396691, $12.5, $12.6, $11.69
05/11/2020, $12.1, 250988, $11.88, $12.33, $11.88
05/08/2020, $11.88, 106130, $11.95, $12.05, $11.7
05/07/2020, $11.83, 330025, $11.6, $12.01, $11.4116
05/06/2020, $11.29, 86643, $11.35, $11.565, $11.2
05/05/2020, $11.15, 86407, $11.15, $11.32, $11.03
05/04/2020, $10.98, 105755, $10.97, $11.1446, $10.645
05/01/2020, $10.79, 121138, $10.91, $10.9806, $10.3345
04/30/2020, $11.13, 86117, $11.43, $11.6, $11.01
04/29/2020, $11.55, 100592, $11.1, $11.62, $10.96
04/28/2020, $10.85, 70672, $11.23, $11.23, $10.77
04/27/2020, $11.08, 202658, $11.5, $11.59, $11.03
04/24/2020, $11.16, 138890, $10.48, $11.22, $10.48
04/23/2020, $10.54, 78877, $10.56, $10.78, $10.2144
04/22/2020, $10.54, 197704, $10.5, $10.67, $10.378
04/21/2020, $10.11, 111433, $10.24, $10.53, $9.84
04/20/2020, $10.47, 287025, $10.7, $11.16, $10.08
04/17/2020, $10.64, 156800, $10.64, $10.82, $10.01
04/16/2020, $10.42, 496378, $10.12, $10.59, $10.04
04/15/2020, $9.39, 98880, $9.65, $9.78, $9.315
04/14/2020, $9.88, 119221, $9.8, $10.08, $9.75
04/13/2020, $9.63, 78962, $9.81, $9.81, $9.545
04/09/2020, $9.76, 263421, $9.89, $9.95, $9.6
04/08/2020, $9.76, 160569, $9.8, $10.09, $9.68
04/07/2020, $9.8, 356019, $9.91, $9.94, $9.255
04/06/2020, $9.39, 125994, $9.05, $9.47, $8.98
04/03/2020, $8.76, 99652, $8.76, $8.94, $8.4
04/02/2020, $8.82, 70517, $8.73, $9.12, $8.62
04/01/2020, $8.72, 89314, $9.18, $9.26, $8.51
