Date, Close/Last, Volume, Open, High, Low
06/17/2020, $68.07, 426357, $68.18, $68.18, $67.98
06/16/2020, $68.12, 572730, $68.31, $68.32, $68
06/15/2020, $68, 538544, $67.31, $68, $67.11
06/12/2020, $67.6, 531216, $67.5, $67.68, $67.03
06/11/2020, $67.24, 346352, $67.41, $67.5, $67.09
06/10/2020, $67.42, 595280, $67.76, $67.76, $67.17
06/09/2020, $67.6, 225507, $67.79, $67.83, $67.41
06/08/2020, $67.8, 368540, $67.23, $67.94, $67.22
06/05/2020, $67.25, 626110, $67.52, $68.245, $67.055
06/04/2020, $67.47, 482743, $67.87, $68.08, $67.27
06/03/2020, $68.15, 867384, $67.6, $68.25, $67.37
06/02/2020, $67.6, 703525, $67.5, $67.86, $67.44
06/01/2020, $67.49, 515814, $67.38, $67.54, $66.95
05/29/2020, $67.5, 715072, $66.9, $67.5, $66.41
05/28/2020, $66.66, 1762933, $67.54, $68, $66.12
05/27/2020, $67.25, 848512, $67.5, $67.69, $67.07
05/26/2020, $67.57, 718063, $68.28, $68.38, $67.51
05/22/2020, $67.9, 1250158, $67.27, $68.39, $67
05/21/2020, $67.23, 849413, $67.23, $67.34, $66.91
05/20/2020, $67.31, 791177, $66.79, $67.56, $66.61
05/19/2020, $66.54, 1497505, $67.22, $67.83, $66.46
05/18/2020, $67.56, 875972, $67.25, $67.66, $66.75
05/15/2020, $67.26, 1669659, $67.25, $67.44, $66.62
05/14/2020, $68.1, 685706, $68.11, $68.2, $67.96
05/13/2020, $68.25, 810014, $68.25, $68.61, $68.06
05/12/2020, $68.62, 788124, $68.95, $68.95, $68.62
05/11/2020, $68.84, 624244, $68.74, $69.13, $68.64
05/08/2020, $68.785, 608861, $68.63, $69.015, $68.55
05/07/2020, $68.5, 292422, $68.57, $68.65, $68.395
05/06/2020, $68.28, 873899, $68.35, $68.78, $68.2334
05/05/2020, $68.3, 936590, $68.2, $68.48, $67.77
05/04/2020, $67.94, 656892, $67.56, $68.02, $67.43
05/01/2020, $67.73, 909727, $67.94, $68.1, $67.44
04/30/2020, $67.69, 931264, $68.05, $68.36, $67.69
04/29/2020, $68.04, 421625, $68.35, $68.37, $67.93
04/28/2020, $67.995, 438539, $68.6, $68.6, $67.96
04/27/2020, $68.38, 393105, $68.6, $68.74, $68.33
04/24/2020, $68.5, 286900, $68.48, $68.64, $68.22
04/23/2020, $68.48, 584176, $68.34, $68.5, $68.27
04/22/2020, $68.445, 273120, $68.35, $68.5, $67.82
04/21/2020, $68, 466186, $67.85, $68.23, $67.63
04/20/2020, $68, 439648, $68.22, $68.59, $68
04/17/2020, $68.5, 517702, $68, $68.7, $67.935
04/16/2020, $68, 558769, $68, $68.15, $67.72
04/15/2020, $67.23, 564903, $67.41, $67.7, $67.09
04/14/2020, $67.75, 823695, $67, $67.86, $66.75
04/13/2020, $66.77, 443771, $67.05, $67.24, $66.35
04/09/2020, $67.24, 579666, $67.57, $67.96, $66.75
04/08/2020, $67.33, 430715, $67.42, $67.6, $66.78
04/07/2020, $67.23, 897265, $67.23, $67.76, $67.02
04/06/2020, $66.7, 867990, $67, $67.47, $66.37
04/03/2020, $66.4, 535176, $66.55, $66.99, $66.11
04/02/2020, $66.82, 579637, $66.1, $67.26, $66.09
04/01/2020, $66.7, 1239407, $66.72, $67.52, $65.3
03/31/2020, $67.18, 967817, $67.61, $67.79, $66.69
03/30/2020, $67.77, 617598, $67.5, $68.05, $67.41
03/27/2020, $67.41, 592456, $66.74, $67.66, $66.42
03/26/2020, $67.5, 1145027, $66.85, $68.25, $66.38
03/25/2020, $66.39, 856246, $66.43, $67.27, $64.9
03/24/2020, $66.39, 1052225, $65.4, $66.5, $64.14
03/23/2020, $64.5, 617623, $64.22, $64.91, $62.615
