Date, Close/Last, Volume, Open, High, Low
06/18/2020, $6.93, 24638, $6.92, $6.97, $6.73
06/17/2020, $6.99, 35271, $6.86, $7.09, $6.7
06/16/2020, $6.83, 52464, $7.19, $7.19, $6.7
06/15/2020, $6.92, 23193, $6.77, $6.985, $6.7
06/12/2020, $6.81, 47632, $7.84, $7.9099, $6.45
06/11/2020, $7.34, 68607, $8.1, $8.1, $7.27
06/10/2020, $8.2, 42600, $8.23, $8.27, $7.76
06/09/2020, $8.22, 53586, $7.78, $8.35, $7.49
06/08/2020, $8, 64941, $6.94, $8, $6.94
06/05/2020, $6.84, 54845, $7.02, $7.72, $6.61
06/04/2020, $6.63, 31817, $6.4, $6.675, $6.345
06/03/2020, $6.32, 38983, $6.33, $6.7067, $6.0764
06/02/2020, $6.25, 24939, $6.63, $6.63, $6.2
06/01/2020, $6.59, 58334, $6.5, $6.73, $6.435
05/29/2020, $6.43, 21577, $6.48, $6.63, $6.39
05/28/2020, $6.52, 29352, $6.38, $6.7, $6.24
05/27/2020, $6.31, 58112, $6.4, $6.465, $6.11
05/26/2020, $6.23, 68259, $6.42, $6.5514, $6.11
05/22/2020, $6.19, 14686, $6.15, $6.34, $6.075
05/21/2020, $6.19, 13113, $6.05, $6.73, $6
05/20/2020, $6.1, 74404, $6, $6.49, $5.86
05/19/2020, $5.86, 165102, $6.2, $6.2, $5.5
05/18/2020, $6.26, 46418, $6.2, $6.39, $5.89
05/15/2020, $5.85, 15114, $6.13, $6.13, $5.77
05/14/2020, $6.08, 53347, $5.83, $6.2, $5.55
05/13/2020, $5.97, 34478, $6.13, $6.575, $5.925
05/12/2020, $6.39, 51002, $6.85, $6.91, $6.33
05/11/2020, $6.85, 29232, $6.8572, $7.11, $6.6945
05/08/2020, $7.01, 23883, $6.3625, $7.21, $6.3625
05/07/2020, $6.51, 23873, $6.71, $6.76, $6.389
05/06/2020, $6.71, 51737, $6.75, $6.79, $6.33
05/05/2020, $6.71, 39565, $7.1, $7.15, $6.54
05/04/2020, $6.99, 31737, $6.73, $7.01, $6.36
05/01/2020, $6.87, 48916, $7, $7.2, $6.365
04/30/2020, $7.03, 36408, $7.06, $7.345, $6.37
04/29/2020, $7.245, 86660, $6.59, $7.45, $6.5681
04/28/2020, $6.33, 22974, $6.31, $6.9499, $6.18
04/27/2020, $6.22, 19778, $6.1, $6.3, $5.91
04/24/2020, $5.89, 9725, $5.41, $5.9, $5.41
04/23/2020, $5.51, 35064, $5.67, $6.2093, $5.435
04/22/2020, $5.65, 67846, $5.92, $5.9699, $5.5
04/21/2020, $5.52, 51038, $5.5, $5.765, $5.5
04/20/2020, $5.55, 21668, $5.72, $5.9927, $5.5326
04/17/2020, $5.89, 26345, $5.93, $6.02, $5.72
04/16/2020, $5.68, 27875, $5.92, $5.94, $5.5342
04/15/2020, $6.01, 25200, $6.02, $6.19, $5.76
04/14/2020, $6.25, 21011, $6.39, $6.5, $6.14
04/13/2020, $6.15, 25734, $6.28, $6.75, $5.88
04/09/2020, $6.4, 46472, $6.015, $6.73, $5.99
04/08/2020, $6.03, 60506, $5.99, $6.25, $5.51
04/07/2020, $5.89, 76290, $6.81, $6.97, $5.73
04/06/2020, $6.74, 26086, $6.5, $6.7996, $6.05
04/03/2020, $6.1, 26949, $6.84, $6.92, $6.01
04/02/2020, $6.96, 21907, $7.26, $7.7699, $6.73
04/01/2020, $7.3, 45630, $7.36, $7.96, $6.94
03/31/2020, $7.76, 29619, $8.05, $8.37, $7.5413
03/30/2020, $8.19, 31029, $7.9, $8.22, $7.41
03/27/2020, $7.95, 69192, $8.64, $8.82, $7.94
03/26/2020, $9.07, 58752, $8.25, $9.11, $8.25
03/25/2020, $8.36, 72213, $7.51, $8.47, $7.41
03/24/2020, $7.68, 61686, $6.9, $7.7693, $6.9
03/23/2020, $6.89, 41718, $6.95, $6.99, $5.8068
03/20/2020, $6.73, 244550, $8.08, $8.4, $5.29
03/19/2020, $8.4, 48178, $7.3, $8.47, $7.13
03/18/2020, $7.52, 60150, $8.72, $9.0531, $7.52
03/17/2020, $9.25, 38420, $8.19, $9.25, $8.19
03/16/2020, $8.08, 111571, $8.8, $9.8, $8.08
03/13/2020, $9.7, 68458, $9.45, $9.77, $8.8
03/12/2020, $8.76, 130063, $9.14, $9.34, $8.0185
03/11/2020, $10.15, 34735, $9.66, $11.355, $9.55
03/10/2020, $10.18, 31643, $9.87, $10.2265, $9.51
03/09/2020, $9.68, 17667, $10.23, $10.5, $9.6
03/06/2020, $10.84, 36069, $10.98, $11.15, $10.76
03/05/2020, $11.19, 33722, $11.18, $11.5267, $11.11
03/04/2020, $11.52, 29963, $11.28, $11.52, $11.13
03/03/2020, $11.21, 25725, $11.3, $11.775, $10.95
03/02/2020, $11.3, 14238, $10.86, $11.3, $10.6633
02/28/2020, $10.86, 36117, $10.53, $11, $10.3848
02/27/2020, $11.05, 41908, $11.48, $11.59, $11
02/26/2020, $11.54, 18363, $11.78, $11.98, $11.26
02/25/2020, $11.8, 43304, $12.26, $12.3115, $11.59
02/24/2020, $12.25, 14180, $12.4, $12.5587, $12.25
02/21/2020, $12.43, 19670, $12.69, $12.69, $12.43
02/20/2020, $12.65, 25335, $12.8, $12.86, $12.425
02/19/2020, $12.8, 16158, $13.05, $13.065, $12.75
02/18/2020, $12.93, 26010, $13, $13.03, $12.72
02/14/2020, $12.99, 20776, $13.15, $13.15, $12.84
02/13/2020, $13.11, 27984, $13, $13.11, $12.91
02/12/2020, $13.08, 31960, $13.04, $13.15, $12.85
02/11/2020, $12.89, 31550, $12.967, $13.06, $12.89
02/10/2020, $12.89, 15384, $13.01, $13.045, $12.76
02/07/2020, $13, 14132, $12.925, $13.08, $12.9
02/06/2020, $13, 23305, $13.3, $13.3, $12.84
02/05/2020, $13.06, 14967, $12.838, $13.14, $12.81
02/04/2020, $12.99, 12097, $12.82, $13.07, $12.82
02/03/2020, $12.7, 13519, $12.6, $12.78, $12.6
01/31/2020, $12.44, 57801, $12.87, $12.87, $12.4
01/30/2020, $12.75, 25682, $12.93, $13.01, $12.75
01/29/2020, $13, 52681, $13.32, $13.32, $12.7
01/28/2020, $13.22, 32350, $13.95, $13.97, $13.11
01/27/2020, $13.96, 48781, $12.51, $14, $12.5
01/24/2020, $12.51, 20230, $12.67, $12.805, $12.5
01/23/2020, $12.67, 15146, $12.664, $12.73, $12.55
01/22/2020, $12.71, 97720, $12.51, $12.8, $12.51
01/21/2020, $12.87, 31234, $13.13, $13.18, $12.8
01/17/2020, $13.26, 17686, $13.43, $13.5, $13.21
01/16/2020, $13.31, 20277, $13.46, $13.56, $13.15
01/15/2020, $13.32, 49806, $13.12, $13.42, $13.04
01/14/2020, $13.24, 15961, $13.3, $13.38, $13.19
01/13/2020, $13.27, 16469, $13.31, $13.31, $13.14
01/10/2020, $13.33, 25372, $13.22, $13.38, $13
01/09/2020, $13.16, 34795, $13.47, $13.47, $13.05
01/08/2020, $13.36, 18693, $13.54, $13.54, $13.35
01/07/2020, $13.57, 11882, $13.61, $13.73, $13.5
01/06/2020, $13.71, 26001, $13.75, $13.89, $13.6
01/03/2020, $13.72, 31746, $13.74, $13.905, $13.45
01/02/2020, $13.7, 29943, $13.73, $13.905, $13.25
12/31/2019, $13.72, 44536, $13.85, $13.94, $13.6
12/30/2019, $13.79, 28046, $13.76, $14.15, $13.76
12/27/2019, $13.75, 29000, $13.64, $13.81, $13.57
12/26/2019, $13.69, 18218, $13.75, $13.86, $13.5
12/24/2019, $13.75, 16052, $13.61, $13.88, $13.61
12/23/2019, $13.7, 43284, $13.49, $13.78, $13.47
12/20/2019, $13.47, 95364, $13.77, $13.99, $13.45
