Date, Close/Last, Volume, Open, High, Low
06/18/2020, $62.82, 2923802, $61.72, $62.9699, $61.71
06/17/2020, $61.98, 346213, $61.59, $62.56, $61.2263
06/16/2020, $61.04, 483068, $61.37, $61.73, $60.26
06/15/2020, $59.89, 412729, $57.13, $59.95, $57.01
06/12/2020, $58.01, 521013, $59.09, $59.77, $56.17
06/11/2020, $57.22, 632784, $58.82, $59.73, $57.08
06/10/2020, $60.32, 432638, $59.52, $61.185, $59.48
06/09/2020, $59.35, 669432, $60, $60.5766, $58.04
06/08/2020, $60.42, 845980, $60, $61.27, $59.557
06/05/2020, $58.83, 1058674, $56.79, $59.05, $56.29
06/04/2020, $55.91, 953001, $56.01, $56.66, $54.92
06/03/2020, $55.92, 1057728, $51.97, $56, $51.57
06/02/2020, $51.09, 444436, $50.72, $51.97, $50.2424
06/01/2020, $50.68, 585875, $47.8, $50.97, $47.67
05/29/2020, $47.29, 636260, $47.21, $47.52, $45.78
05/28/2020, $46.95, 661261, $51.05, $52.29, $46.72
05/27/2020, $50.68, 1210258, $48.98, $50.865, $47.78
05/26/2020, $48.89, 2738547, $47.55, $49.2, $47.245
05/22/2020, $46.36, 426765, $45.38, $46.56, $45.18
05/21/2020, $45.19, 1002929, $47.47, $47.47, $44.96
05/20/2020, $47.54, 3943212, $46.39, $47.87, $45
05/19/2020, $49.86, 282320, $49.7, $50.535, $49.68
05/18/2020, $49.63, 492395, $51.05, $51.62, $49.45
05/15/2020, $50.33, 736870, $48.89, $51.31, $48.38
05/14/2020, $49.08, 351642, $48.11, $49.235, $47.56
05/13/2020, $49.07, 369386, $49.57, $50.66, $47.8756
05/12/2020, $49.66, 519425, $51.68, $51.89, $49.56
05/11/2020, $51.33, 469186, $49.69, $52.02, $49.06
05/08/2020, $50.05, 620607, $48, $50.42, $47.74
05/07/2020, $47.63, 727827, $45.8, $47.84, $45.12
05/06/2020, $44.61, 554974, $43.3, $44.63, $42.31
05/05/2020, $43.18, 424336, $42.3, $43.64, $42.3
05/04/2020, $41.65, 569682, $41.76, $42.21, $40.92
05/01/2020, $41.83, 340484, $43.87, $43.87, $41.67
04/30/2020, $44.73, 293749, $44.8, $45.09, $43.6187
04/29/2020, $45.15, 392425, $44.83, $45.87, $44.33
04/28/2020, $44.06, 326717, $45.94, $45.94, $43.73
04/27/2020, $45.39, 448761, $46.21, $46.57, $45.28
04/24/2020, $45.74, 290218, $45.44, $46.05, $44.425
04/23/2020, $44.99, 302435, $44.09, $45.835, $43.95
04/22/2020, $43.89, 302951, $44.08, $44.38, $43
04/21/2020, $43.2, 269845, $43.27, $44.315, $42.59
04/20/2020, $44.17, 363629, $44.36, $45.26, $43.9001
04/17/2020, $44.77, 356572, $43.5, $44.97, $43.451
04/16/2020, $42.7, 472937, $42.85, $43.56, $41.75
04/15/2020, $42.66, 354735, $41.8, $43.42, $41.45
04/14/2020, $43.03, 468782, $42.77, $43.969, $42.22
04/13/2020, $42.36, 474739, $42.53, $42.72, $40.53
04/09/2020, $42.72, 298830, $42.65, $43.1, $41.745
04/08/2020, $41.93, 289039, $40.92, $42.48, $40.48
04/07/2020, $40.87, 366804, $41.99, $42.79, $40.67
04/06/2020, $41.29, 309769, $39.09, $41.72, $38.01
04/03/2020, $37.84, 433300, $36.66, $38.42, $35.5
04/02/2020, $36.8, 360992, $37.43, $38.04, $36.07
04/01/2020, $37.94, 366149, $37.98, $39.43, $36.76
03/31/2020, $38.91, 391171, $38.93, $40.09, $37.51
03/30/2020, $39.14, 395613, $40.19, $40.54, $38.0101
03/27/2020, $39.83, 423483, $41.38, $42.0097, $38.14
03/26/2020, $42.44, 710384, $39.84, $42.79, $39.84
03/25/2020, $39.83, 790651, $42.66, $43.22, $39.56
03/24/2020, $42.75, 592527, $39.53, $43, $38.925
03/23/2020, $38.15, 805673, $39.31, $41.135, $36.75
03/20/2020, $38.73, 1328221, $40.24, $42.63, $38.58
03/19/2020, $40.27, 2165162, $34.47, $41.26, $33.94
03/18/2020, $34.8, 745945, $32.87, $36.75, $32
03/17/2020, $34.65, 884165, $34.55, $35.29, $32.08
03/16/2020, $34.29, 795342, $33.56, $35.88, $33.0913
03/13/2020, $36.49, 1016403, $37, $37.232, $34.1522
03/12/2020, $35.82, 779421, $36.49, $36.73, $34.94
03/11/2020, $38.62, 772390, $39, $39.32, $37.21
03/10/2020, $39.31, 713645, $40.21, $40.21, $37.75
03/09/2020, $38.94, 666110, $42.6, $43.3, $38.81
03/06/2020, $44.89, 714314, $44.74, $45.56, $44.67
03/05/2020, $46.06, 584426, $45.84, $46.78, $44.98
03/04/2020, $46.4, 1788069, $47.37, $48.16, $44.116
03/03/2020, $48.01, 600594, $49.82, $50.75, $46.97
03/02/2020, $50.11, 892401, $48.8, $50.23, $47.25
02/28/2020, $48.25, 559189, $45.04, $48.31, $44.95
02/27/2020, $46.21, 950364, $47.1, $47.98, $45.28
02/26/2020, $48.03, 1487297, $47.82, $48.69, $46.01
02/25/2020, $44.76, 615108, $46.54, $46.54, $44.0702
02/24/2020, $46.22, 357271, $45.42, $46.62, $45.14
02/21/2020, $47.23, 231420, $47.45, $47.4899, $46.62
02/20/2020, $47.53, 181544, $47.45, $48.11, $46.93
02/19/2020, $47.43, 312232, $47.43, $47.82, $47.22
02/18/2020, $47.28, 176775, $47.37, $48.21, $47.1
02/14/2020, $47.66, 179423, $47.56, $47.775, $47.29
02/13/2020, $47.5, 198840, $46.83, $47.73, $46.81
02/12/2020, $47.055, 243800, $46.82, $47.39, $46.5456
02/11/2020, $46.72, 207849, $47.44, $47.48, $46.455
02/10/2020, $47.13, 464162, $45.32, $47.33, $45.32
02/07/2020, $45.44, 729814, $44.39, $45.48, $43.83
02/06/2020, $44.5, 587351, $45.46, $45.8183, $44.47
