Date, Close/Last, Volume, Open, High, Low
06/18/2020, $39.06, 230956, $38.49, $39.415, $38.49
06/17/2020, $38.56, 241509, $38.61, $39.045, $38.39
06/16/2020, $38.2, 366005, $38.54, $38.71, $37
06/15/2020, $37.68, 297444, $36.54, $37.95, $35.86
06/12/2020, $37.02, 200693, $36.26, $37.74, $36.26
06/11/2020, $36.24, 253040, $38.76, $38.76, $35.79
06/10/2020, $39.42, 268711, $39.21, $39.64, $38.99
06/09/2020, $39.14, 201514, $38.51, $39.6, $38.51
06/08/2020, $38.93, 241812, $40, $40.33, $38.885
06/05/2020, $40.21, 273314, $39.56, $40.61, $39.05
06/04/2020, $39.25, 533208, $39.44, $39.97, $38.85
06/03/2020, $39.89, 464792, $39.89, $41.23, $39.3677
06/02/2020, $39.82, 469929, $39, $39.89, $38.3388
06/01/2020, $38.94, 336670, $39.27, $39.505, $38.94
05/29/2020, $39.09, 381550, $37.47, $39.2, $37.47
05/28/2020, $37.6, 217066, $38.05, $38.51, $37.56
05/27/2020, $37.69, 216269, $38.1, $38.21, $36.5
05/26/2020, $37.69, 274249, $37.1, $38.1, $36.63
05/22/2020, $36.29, 178915, $36.1, $36.54, $35.77
05/21/2020, $35.9, 147893, $35.97, $36.47, $35.7
05/20/2020, $35.85, 263794, $35, $36.02, $34.52
05/19/2020, $34.55, 239775, $34.48, $35.52, $34.48
05/18/2020, $34.54, 292774, $33.37, $34.86, $32.64
05/15/2020, $32.25, 162113, $31.71, $32.32, $30.92
05/14/2020, $31.89, 208772, $31.71, $32.44, $30.88
05/13/2020, $32.16, 205697, $33.11, $33.335, $31.13
05/12/2020, $33.26, 228626, $33.35, $34.36, $32.98
05/11/2020, $33.15, 292393, $33.52, $34, $32.94
05/08/2020, $34.34, 411208, $33.43, $35.03, $32.13
05/07/2020, $32.65, 200839, $33.44, $33.48, $32.34
05/06/2020, $32.62, 199737, $31.75, $32.79, $31.36
05/05/2020, $31.94, 203037, $32.37, $32.92, $31.76
05/04/2020, $31.53, 286749, $31.05, $31.63, $30.44
05/01/2020, $31.09, 184577, $32.08, $32.41, $30.28
04/30/2020, $32.99, 235415, $32.73, $33.17, $32.05
04/29/2020, $33, 325458, $31.89, $33.33, $31.355
04/28/2020, $30.69, 290007, $31.74, $31.8, $30.41
04/27/2020, $31.07, 130915, $30.68, $31.4, $30.49
