Date, Close/Last, Volume, Open, High, Low
06/18/2020, $2.05, 66722, $1.85, $2.2, $1.81
06/17/2020, $1.85, 19663, $1.9, $1.9499, $1.83
06/16/2020, $1.9, 28748, $2.01, $2.01, $1.84
06/15/2020, $1.9, 37549, $1.9, $1.94, $1.8001
06/12/2020, $1.89, 13809, $1.99, $1.99, $1.81
06/11/2020, $1.83, 41021, $1.77, $2, $1.77
06/10/2020, $1.86, 22628, $1.95, $1.95, $1.84
06/09/2020, $1.925, 5229, $1.95, $1.95, $1.8501
06/08/2020, $1.8973, 12458, $1.89, $1.92, $1.85
06/05/2020, $1.91, 10866, $1.914, $1.92, $1.84
06/04/2020, $1.9, 11527, $1.94, $1.95, $1.89
06/03/2020, $1.88, 25116, $1.8, $1.94, $1.8
06/02/2020, $1.8, 58226, $1.754, $1.86, $1.735
06/01/2020, $1.77, 14244, $1.6, $1.77, $1.5999
05/29/2020, $1.6, 41118, $1.63, $1.63, $1.6
05/28/2020, $1.65, 8245, $1.65, $1.65, $1.65
05/27/2020, $1.65, 3098, $1.69, $1.69, $1.65
05/26/2020, $1.69, 3511, $1.7, $1.7, $1.6701
05/22/2020, $1.67, 27240, $1.69, $1.69, $1.67
05/21/2020, $1.69, 2362, $1.74, $1.74, $1.68
05/20/2020, $1.67, 5533, $1.58, $1.75, $1.58
05/19/2020, $1.55, 8423, $1.75, $1.75, $1.55
05/18/2020, $1.73, 2106, $1.77, $1.77, $1.72
05/15/2020, $1.72, 1640, $1.71, $1.72, $1.62
05/14/2020, $1.76, 4809, $1.8, $1.8, $1.76
05/13/2020, $1.81, 20848, $1.79, $1.85, $1.79
05/12/2020, $1.82, 14532, $1.79, $1.85, $1.76
05/11/2020, $1.805, 4050, $1.79, $1.84, $1.79
05/08/2020, $1.77, 16472, $1.75, $1.8, $1.71
05/07/2020, $1.78, 1795, $1.83, $1.85, $1.77
05/06/2020, $1.85, 2232, $1.84, $1.85, $1.835
05/05/2020, $1.8, 1637, $1.7713, $1.8, $1.7713
05/04/2020, $1.76, 29271, $1.83, $1.84, $1.76
05/01/2020, $1.716, 4662, $1.74, $1.79, $1.71
04/30/2020, $1.81, 518, $1.79, $1.81, $1.79
04/29/2020, $1.79, 17776, $1.74, $1.79, $1.72
04/28/2020, $1.74, 873, $1.77, $1.77, $1.74
04/27/2020, $1.71, 561, $1.74, $1.74, $1.71
04/24/2020, $1.74, 1374, $1.711, $1.74, $1.71
04/23/2020, $1.71, 3081, $1.7, $1.73, $1.7
04/22/2020, $1.74, 1565, $1.74, $1.74, $1.74
04/21/2020, $1.74, 711, $1.686, $1.74, $1.686
04/20/2020, $1.78, 970, $1.78, $1.78, $1.78
04/17/2020, $1.74, 1455, $1.76, $1.77, $1.74
04/16/2020, $1.8, 1885, $1.7356, $1.8, $1.7356
04/15/2020, $1.7, 6759, $1.77, $1.79, $1.68
