Date, Close/Last, Volume, Open, High, Low
06/18/2020, $60.38, 5673980, $59.57, $60.72, $59.57
06/17/2020, $60, 8338041, $58.73, $60.43, $58.54
06/16/2020, $58.54, 9719139, $58.96, $60.1304, $57.9
06/15/2020, $57.05, 7222230, $54.92, $57.231, $54.52
06/12/2020, $56.55, 8534153, $57.51, $58.01, $54.97
06/11/2020, $55.41, 9386832, $58.26, $58.59, $55.35
06/10/2020, $59.86, 5319825, $60.2, $60.57, $59.46
06/09/2020, $59.79, 6184250, $59.02, $60.26, $58.93
06/08/2020, $59.9, 5528660, $59.93, $60.47, $59.09
06/05/2020, $60.19, 8349728, $59.71, $61.11, $59.62
06/04/2020, $58.13, 7456860, $57.16, $59.2, $57.1
06/03/2020, $57.81, 8026744, $56.69, $58.25, $56.41
06/02/2020, $55.79, 6998693, $56, $56.22, $54.75
06/01/2020, $55.685, 5377115, $55.63, $56.465, $55.19
05/29/2020, $56.18, 10820230, $55, $56.375, $54.46
05/28/2020, $54.67, 7239260, $56.12, $56.68, $54.35
05/27/2020, $56.4, 9071585, $55.591, $56.44, $53.315
05/26/2020, $55.14, 7757569, $56.31, $56.71, $54.96
05/22/2020, $54.39, 7121020, $55.02, $55.17, $53.72
05/21/2020, $55.02, 7467173, $56.84, $56.92, $54.845
05/20/2020, $56.88, 9824053, $56.5, $58.16, $56.32
05/19/2020, $55.47, 10535650, $54.5, $56.995, $54.03
05/18/2020, $54.36, 11300620, $53.53, $54.65, $52.41
05/15/2020, $52.04, 20755930, $53.16, $53.47, $51.17
05/14/2020, $54.43, 15838960, $50.75, $54.65, $49.66
05/13/2020, $51.49, 8696554, $52.5, $52.86, $50.4
05/12/2020, $52.33, 7479010, $54.4, $54.59, $52.31
05/11/2020, $54.01, 8211460, $54.127, $54.405, $53.37
05/08/2020, $53.81, 8089548, $52.41, $53.89, $52.24
05/07/2020, $51.25, 6645646, $51.46, $51.8, $50.91
05/06/2020, $50.5, 8594562, $49.99, $51.16, $49.54
05/05/2020, $48.85, 8220563, $48.826, $50.75, $48.53
05/04/2020, $47.58, 7798029, $46.56, $47.64, $46.22
05/01/2020, $46.89, 13583130, $48.08, $48.36, $46.37
04/30/2020, $49.68, 14456990, $53.45, $53.88, $49.64
04/29/2020, $54.34, 8946250, $51.83, $54.645, $51.42
04/28/2020, $50.42, 7759524, $51.91, $52.12, $50.26
04/27/2020, $51.03, 6587434, $52.5, $52.72, $50.65
04/24/2020, $51.74, 7665048, $51.22, $51.88, $49.935
04/23/2020, $50.9, 9048275, $51.75, $52.22, $50.59
04/22/2020, $52.11, 7790213, $50.1, $52.43, $49.8068
04/21/2020, $48.33, 9359637, $49.9, $50.05, $48.21
04/20/2020, $50.63, 7041189, $52.1, $52.49, $50.61
04/17/2020, $53.2, 9367590, $53.635, $53.9, $52.27
04/16/2020, $52.23, 8878072, $51.87, $52.57, $50.8
04/15/2020, $50.37, 7206676, $51.31, $51.31, $49.745
04/14/2020, $52.47, 8025517, $51.41, $52.84, $51.08
04/13/2020, $49.88, 5750047, $49.3, $49.97, $48.37
04/09/2020, $49.59, 11659100, $52, $52.74, $48.68
04/08/2020, $51.46, 14428960, $48.63, $51.615, $48.515
04/07/2020, $47.56, 11962590, $48, $48.97, $46.3
04/06/2020, $46.15, 12046450, $44.84, $46.45, $44.64
04/03/2020, $42.28, 9488550, $43.46, $43.62, $41.58
04/02/2020, $43.24, 8764565, $42.5, $44.46, $42.13
04/01/2020, $43.3, 10665910, $43.83, $46.18, $42.83
03/31/2020, $45.82, 11068720, $47.17, $47.28, $45.15
03/30/2020, $47.3, 7839167, $45.4, $47.51, $45.33
03/27/2020, $45.05, 10624180, $47.7, $48.13, $44.84
03/26/2020, $49.2, 11869400, $46.23, $49.39, $45.34
03/25/2020, $44.73, 11550730, $44.93, $48.22, $43.7668
03/24/2020, $45.14, 16338450, $44.24, $46.24, $43.03
03/23/2020, $40.17, 15138430, $38.64, $41.54, $37.92
03/20/2020, $37.99, 13967140, $41.49, $43.26, $37.8
03/19/2020, $40.19, 13066570, $38.68, $42.07, $36.858
03/18/2020, $39.18, 18870020, $40.57, $41.76, $36.64
03/17/2020, $44.86, 16361230, $41.76, $46.07, $39.77
03/16/2020, $40.53, 13762990, $44.05, $46.7, $40.41
03/13/2020, $50.89, 15539270, $48.67, $51.23, $45.35
03/12/2020, $45.11, 18043720, $48.775, $50.36, $45.1
03/11/2020, $52.49, 12977850, $54.28, $54.99, $51.41
03/10/2020, $56.17, 10107410, $54.4, $56.17, $52.565
03/09/2020, $52.07, 10305890, $52.81, $55.33, $52
03/06/2020, $57.79, 8958735, $57, $58.48, $56.25
03/05/2020, $59.13, 9842549, $58.56, $60.44, $58.26
03/04/2020, $60.52, 7925764, $59.44, $60.65, $58.27
03/03/2020, $58.04, 14036620, $59.97, $61.38, $57.56
03/02/2020, $60.16, 10795210, $58.7, $60.19, $57
02/28/2020, $58.12, 14945270, $54.19, $58.18, $54.08
02/27/2020, $57, 15746190, $57.2, $58.5, $56.4
02/26/2020, $59.81, 10855350, $59.58, $60.76, $59.31
02/25/2020, $58.86, 9942547, $61.92, $62.28, $58.48
02/24/2020, $61.08, 11223690, $61.13, $61.85, $60.4
02/21/2020, $64.27, 9660153, $65.91, $66.13, $63.625
02/20/2020, $66.4, 7535934, $67, $67.35, $65.22
02/19/2020, $67.41, 8502634, $66.5, $67.735, $66.27
02/18/2020, $65.16, 10218490, $64.23, $66, $63.85
02/14/2020, $66.85, 8103993, $67.46, $67.9, $66.55
02/13/2020, $67.37, 21742730, $66.75, $69.44, $65.95
02/12/2020, $65.37, 11592170, $64.93, $65.68, $64.62
02/11/2020, $64.45, 6203824, $63.6, $64.7, $63.34
02/10/2020, $62.92, 5121109, $61.08, $62.96, $61.08
02/07/2020, $61.71, 6093168, $62.84, $62.98, $61.63
02/06/2020, $63.19, 4870591, $64.02, $64.16, $63.05
02/05/2020, $63.8, 8252083, $63.98, $64.445, $62.87
02/04/2020, $63.01, 12322100, $61.41, $63.65, $61.1987
02/03/2020, $59.72, 7850022, $58.68, $60.25, $58.66
01/31/2020, $57.99, 10132160, $59.82, $59.85, $57.53
01/30/2020, $60.25, 9656093, $61.54, $62.03, $59.42
01/29/2020, $59.82, 6532570, $60.07, $60.66, $59.49
01/28/2020, $60.19, 6228135, $59.76, $60.35, $58.92
01/27/2020, $59.05, 9350583, $59.95, $60.45, $58.82
01/24/2020, $62, 8007737, $64.8, $64.93, $61.61
01/23/2020, $63.89, 6540695, $64.13, $64.26, $63.13
01/22/2020, $63.89, 5598714, $63.7, $64.6, $63.62
01/21/2020, $63.2, 5777443, $62.74, $63.89, $62.65
01/17/2020, $62.85, 6327829, $63.79, $63.81, $62.525
01/16/2020, $63.21, 5733795, $62.59, $63.23, $62.47
01/15/2020, $61.93, 6314386, $62.3, $62.365, $61.35
01/14/2020, $62.35, 8003042, $62.09, $63.545, $62.08
01/13/2020, $61.81, 4112445, $61.48, $61.95, $61.34
01/10/2020, $61.47, 4456534, $62.53, $62.714, $61.2
01/09/2020, $61.97, 5713547, $62.2, $62.85, $61.21
01/08/2020, $61.58, 4364451, $61.7, $62.2, $61.25
01/07/2020, $61.62, 8002207, $60.27, $62.1, $60.14
01/06/2020, $59.89, 8588868, $59.85, $60.4568, $59.3
01/03/2020, $61.21, 5416193, $60.69, $61.73, $60.56
01/02/2020, $62.2, 6289207, $62, $62.65, $61.7
12/31/2019, $61.04, 3878974, $60.68, $61.08, $60.1
12/30/2019, $60.93, 3566742, $61.35, $61.38, $60.19
12/27/2019, $61.17, 3315350, $61.59, $61.68, $60.83
12/26/2019, $61.31, 2960848, $61.61, $61.6815, $61.04
12/24/2019, $61.5, 1624148, $61.37, $61.52, $60.94
12/23/2019, $61.08, 5842104, $61.95, $62, $61.03
12/20/2019, $61.81, 15663080, $61.21, $61.98, $60.7
12/19/2019, $60.67, 6764975, $60.57, $60.7, $59.88
