Date, Close/Last, Volume, Open, High, Low
06/18/2020, $49.84, 618186, $51.15, $51.2, $49.71
06/17/2020, $51.4, 328787, $52.25, $52.4, $51.04
06/16/2020, $51.71, 427669, $53.23, $53.51, $51.19
06/15/2020, $51.83, 569453, $49.5, $51.83, $49.13
06/12/2020, $50.55, 539932, $52.93, $53, $49.31
06/11/2020, $51.28, 406335, $53.03, $54.05, $51.25
06/10/2020, $54.67, 301645, $55.25, $55.3, $53.65
06/09/2020, $54.87, 450878, $52.84, $55.28, $52.57
06/08/2020, $53.6, 594941, $54.36, $54.36, $52.61
06/05/2020, $53.68, 748125, $55.71, $56.32, $53.6
06/04/2020, $54.75, 913348, $53.2, $55.7068, $53
06/03/2020, $52.995, 2615567, $58.19, $58.6674, $52.91
06/02/2020, $61.55, 1825053, $58, $62.15, $57.15
06/01/2020, $57.78, 522348, $57.24, $58.41, $55.67
05/29/2020, $56.74, 395665, $55.04, $56.77, $54.22
05/28/2020, $55.45, 383480, $56.96, $57.24, $54.73
05/27/2020, $57.05, 572795, $57.46, $57.68, $55.37
05/26/2020, $56.3, 512894, $58.3, $58.99, $56.08
05/22/2020, $57.29, 195663, $57, $57.54, $56.36
05/21/2020, $56.55, 218519, $57.74, $58.11, $56.04
05/20/2020, $57.75, 305824, $56.74, $57.9299, $56.7201
05/19/2020, $55.89, 324430, $54.81, $57.73, $54.64
05/18/2020, $54.94, 449924, $53.37, $55.2506, $53.02
05/15/2020, $52.2, 432380, $50.71, $52.63, $50.015
05/14/2020, $51.83, 316549, $51.51, $51.97, $49.375
05/13/2020, $51.87, 368791, $52.43, $53.56, $50.89
05/12/2020, $51.92, 346869, $56.04, $56.24, $51.9
05/11/2020, $54.94, 375046, $54.37, $55.91, $53.855
05/08/2020, $54.75, 240928, $53.25, $54.86, $53.25
05/07/2020, $52.45, 195780, $52.11, $52.66, $51
05/06/2020, $51.39, 186646, $51.24, $52.21, $50.67
05/05/2020, $50.4, 169170, $50.45, $51.66, $49.95
05/04/2020, $49.53, 331718, $48.64, $49.53, $48.02
05/01/2020, $49, 468530, $50.78, $52.4, $47.91
04/30/2020, $52.58, 522271, $55, $55, $52.45
04/29/2020, $55.72, 478881, $54, $56.4, $53.65
04/28/2020, $52.57, 173124, $53.44, $53.9, $52.01
04/27/2020, $52.43, 539898, $53.82, $54.7222, $52.24
04/24/2020, $52.05, 223341, $50.58, $52.15, $50.26
04/23/2020, $50.7, 262269, $50.21, $51.15, $49.77
04/22/2020, $50.36, 253903, $50.45, $51.47, $49.64
04/21/2020, $48.94, 403380, $48.97, $49.88, $48.2301
04/20/2020, $50.03, 486460, $49, $51.32, $48.22
04/17/2020, $49.25, 310311, $49.33, $49.95, $48.2344
04/16/2020, $48.22, 327643, $48.03, $48.795, $46.56
04/15/2020, $47.96, 347103, $48.15, $48.5535, $47.14
