Date, Close/Last, Volume, Open, High, Low
06/18/2020, $54.04, 40354720, $54.62, $55.1225, $53.65
06/17/2020, $54.55, 45146550, $54.79, $55.82, $54.3
06/16/2020, $54.46, 50949750, $55.72, $56.07, $53.59
06/15/2020, $54.68, 56740680, $52.58, $54.73, $52.4128
06/12/2020, $53.5, 71189070, $55.01, $55.6, $52.11
06/11/2020, $52.83, 78715400, $55.94, $56.68, $52.8
06/10/2020, $57.44, 78719420, $57.2, $59, $57.03
06/09/2020, $56.39, 79919140, $52.95, $56.46, $52.72
06/08/2020, $52.97, 39681750, $53.3, $53.35, $52.26
06/05/2020, $53.1, 53908270, $52.99, $53.57, $52.08
06/04/2020, $52.63, 44869090, $52.59, $53.74, $52.2
06/03/2020, $52.73, 46765330, $53.597, $53.65, $52.33
06/02/2020, $53.54, 42855210, $53.45, $53.57, $52.01
06/01/2020, $53.63, 36949860, $53.31, $54.11, $52.89
05/29/2020, $53.8, 64948310, $52.07, $53.8, $51.85
05/28/2020, $51.74, 53754230, $52.25, $53.54, $51.25
05/27/2020, $52.74, 102414500, $53.27, $53.28, $49.09
05/26/2020, $53.19, 51618870, $56.01, $56.08, $53.02
05/22/2020, $55.17, 43524110, $54.77, $55.3748, $53.78
05/21/2020, $54.65, 48496110, $56.68, $56.72, $54.61
05/20/2020, $56.39, 50888190, $56.55, $56.98, $55.625
05/19/2020, $55.47, 60388540, $54.39, $56.73, $54.36
05/18/2020, $54.59, 48679060, $54.98, $55.25, $54.24
05/15/2020, $54.2, 66950860, $53.32, $54.435, $52.86
05/14/2020, $54.51, 73814000, $52.1, $54.54, $51.61
05/13/2020, $52.18, 76824710, $54.04, $55.22, $51.295
05/12/2020, $53.76, 55631100, $56.207, $56.58, $53.75
05/11/2020, $55.74, 68746370, $52.9, $55.89, $52.75
05/08/2020, $53.19, 40774190, $52.15, $53.27, $51.81
05/07/2020, $51.95, 48956640, $52.93, $52.9666, $51.62
05/06/2020, $52.16, 48138120, $52.42, $53.31, $51.88
05/05/2020, $52.19, 56560530, $53.43, $53.51, $51.29
05/04/2020, $52.56, 62590580, $49.815, $52.61, $49.73
05/01/2020, $49.88, 69562660, $51.07, $51.95, $49.09
04/30/2020, $52.39, 65543940, $53.43, $54.29, $52.03
04/29/2020, $53.66, 110800900, $54.53, $54.86, $52.74
04/28/2020, $55.51, 80501820, $57.16, $57.35, $55.3
