Date, Close/Last, Volume, Open, High, Low
06/18/2020, $12.08, 1355021, $12.11, $12.33, $11.92
06/17/2020, $12.225, 1172066, $12.21, $12.43, $12.06
06/16/2020, $12.11, 1274752, $12.28, $12.5, $12.01
06/15/2020, $11.75, 1094114, $11.38, $11.86, $11.19
06/12/2020, $11.77, 1486206, $11.64, $11.84, $11.42
06/11/2020, $11.11, 1869365, $11.81, $12.07, $11.06
06/10/2020, $12.455, 1125108, $12.63, $12.72, $12.42
06/09/2020, $12.61, 1173527, $12.48, $12.81, $12.3186
06/08/2020, $12.715, 1464729, $13, $13.02, $12.64
06/05/2020, $12.55, 2606619, $12, $13.09, $12
06/04/2020, $11.73, 1603924, $11.35, $11.92, $11.35
06/03/2020, $11.41, 1506367, $10.79, $11.49, $10.79
06/02/2020, $10.59, 1359671, $10.57, $10.62, $10.275
06/01/2020, $10.47, 833928, $10.58, $10.695, $10.3574
05/29/2020, $10.58, 1172770, $10.37, $10.67, $10.24
05/28/2020, $10.4, 929863, $10.99, $11.06, $10.34
05/27/2020, $10.965, 1510138, $10.61, $10.985, $10.125
05/26/2020, $10.41, 1295119, $10.24, $10.572, $10.08
05/22/2020, $9.81, 758027, $9.96, $10, $9.75
05/21/2020, $9.92, 1211331, $10.05, $10.12, $9.8
05/20/2020, $10.02, 875945, $10.05, $10.1487, $9.91
05/19/2020, $9.825, 836896, $9.96, $10.15, $9.82
05/18/2020, $10.01, 1557196, $9.71, $10.075, $9.58
05/15/2020, $9.39, 1187659, $9.45, $9.55, $9.24
05/14/2020, $9.66, 1191393, $9.34, $9.67, $9.04
05/13/2020, $9.48, 1502938, $9.89, $9.975, $9.385
05/12/2020, $9.96, 1251816, $10.05, $10.36, $9.8
05/11/2020, $10.02, 972094, $9.96, $10.2, $9.82
05/08/2020, $10.13, 761713, $9.99, $10.15, $9.91
05/07/2020, $9.78, 867667, $9.93, $9.985, $9.76
05/06/2020, $9.75, 867290, $9.85, $10.06, $9.695
05/05/2020, $9.72, 1756622, $9.89, $10.2177, $9.66
05/04/2020, $9.73, 1661828, $9.61, $9.75, $9.475
05/01/2020, $9.73, 1436211, $9.64, $9.74, $9.38
04/30/2020, $9.88, 1576785, $10.42, $10.445, $9.86
04/29/2020, $10.52, 2427435, $9.66, $10.8, $9.61
04/28/2020, $9.57, 4453029, $10.65, $10.78, $9.17
04/27/2020, $10.19, 2366835, $9.72, $10.29, $9.57
04/24/2020, $9.41, 860755, $9.17, $9.49, $9.125
04/23/2020, $9.17, 925000, $9.16, $9.45, $9.06
04/22/2020, $9.145, 889643, $9.15, $9.24, $9.015
04/21/2020, $8.78, 1385629, $8.92, $9.1, $8.73
04/20/2020, $9.23, 701709, $9.15, $9.366, $9.02
04/17/2020, $9.44, 1215528, $9.55, $9.65, $9.2
04/16/2020, $9.17, 1129721, $8.81, $9.225, $8.61
04/15/2020, $8.64, 1640769, $8.77, $8.81, $8.505
04/14/2020, $9.125, 1222483, $9.21, $9.4, $9.015
04/13/2020, $8.99, 1020996, $9.13, $9.13, $8.83
04/09/2020, $9.175, 2355549, $9.5, $9.67, $9.12
04/08/2020, $9.245, 1308431, $8.92, $9.35, $8.72
04/07/2020, $8.77, 1652598, $8.97, $9.17, $8.65
04/06/2020, $8.53, 1514174, $7.88, $8.57, $7.75
04/03/2020, $7.39, 1517407, $7.38, $7.52, $7.135
04/02/2020, $7.5, 1258002, $7.24, $7.73, $7.17
04/01/2020, $7.37, 1779177, $7.42, $7.74, $7.135
03/31/2020, $7.79, 1860098, $8.35, $8.4, $7.75
03/30/2020, $8.36, 1177439, $7.78, $8.36, $7.77
03/27/2020, $7.73, 2137295, $8.12, $8.12, $7.63
03/26/2020, $8.56, 1772587, $8.34, $8.7, $8.2
03/25/2020, $8.25, 1618394, $8.16, $8.63, $7.76
03/24/2020, $8.04, 2159773, $7.47, $8.09, $7.38
03/23/2020, $6.96, 1850107, $7.21, $7.21, $6.49
03/20/2020, $6.95, 3177717, $6.74, $7.49, $6.5
03/19/2020, $6.48, 2623537, $5.81, $6.6, $5.4
03/18/2020, $5.78, 2032225, $7.3, $7.51, $5.5
03/17/2020, $7.98, 2541955, $7.45, $8.03, $6.91
03/16/2020, $7.28, 1692651, $7.01, $7.9377, $7
03/13/2020, $8.03, 2175080, $7.92, $8.15, $7.37
03/12/2020, $7.37, 1764075, $7.92, $8.1, $7.35
03/11/2020, $8.65, 2143367, $9.09, $9.27, $8.56
03/10/2020, $9.44, 1470989, $9.13, $9.47, $8.705
03/09/2020, $8.61, 1213691, $9.14, $9.19, $8.585
03/06/2020, $9.86, 1009805, $9.95, $10.155, $9.6
03/05/2020, $10.32, 1085837, $10.53, $10.73, $10.15
03/04/2020, $10.87, 921198, $10.57, $10.96, $10.33
03/03/2020, $10.32, 1446486, $10.57, $10.86, $10.19
03/02/2020, $10.535, 1590414, $10.55, $10.62, $9.94
02/28/2020, $10.435, 2878257, $9.5, $10.47, $9.26
02/27/2020, $9.99, 1722600, $10.09, $10.38, $9.8182
02/26/2020, $10.43, 1131918, $10.58, $10.82, $10.29
02/25/2020, $10.475, 1993700, $11.21, $11.32, $10.385
02/24/2020, $11.11, 1789698, $11.7, $11.82, $11.09
02/21/2020, $12.32, 1691709, $12.95, $13.08, $12.2
02/20/2020, $12.99, 3711228, $12.31, $13.06, $12.04
02/19/2020, $12.38, 1376642, $12.18, $12.46, $12.155
02/18/2020, $12.06, 2102542, $12.45, $12.5, $12.04
02/14/2020, $12.63, 1618774, $12.8, $12.88, $12.535
02/13/2020, $12.71, 1522493, $12.73, $13.02, $12.57
02/12/2020, $12.99, 2536380, $13.38, $13.6, $12.79
02/11/2020, $13.24, 7993621, $13.92, $14.82, $13.08
02/10/2020, $11.55, 2878660, $11.08, $11.61, $10.95
02/07/2020, $11.08, 1405221, $11.32, $11.41, $11.06
02/06/2020, $11.44, 914821, $11.87, $11.87, $11.43
02/05/2020, $11.83, 1131262, $11.72, $11.84, $11.52
02/04/2020, $11.46, 945647, $11.37, $11.55, $11.21
02/03/2020, $11.17, 987024, $11.21, $11.37, $11.13
01/31/2020, $11.25, 1185344, $11.84, $11.865, $11.2
01/30/2020, $11.97, 781792, $11.79, $12.13, $11.7
01/29/2020, $11.92, 1098400, $12.07, $12.14, $11.805
01/28/2020, $12.015, 877597, $11.94, $12.18, $11.935
01/27/2020, $11.85, 1221396, $12.46, $12.4638, $11.8
01/24/2020, $12.79, 1605238, $13.44, $13.4499, $12.66
01/23/2020, $13.39, 645355, $13.2, $13.48, $13.11
01/22/2020, $13.2, 1016082, $13.12, $13.41, $13.11
01/21/2020, $13.1, 826550, $13.1, $13.2, $13.03
01/17/2020, $13.2, 615036, $13.35, $13.42, $13.03
01/16/2020, $13.23, 691367, $12.99, $13.28, $12.99
01/15/2020, $12.98, 847776, $12.91, $13.05, $12.825
01/14/2020, $12.92, 1032669, $12.79, $13.04, $12.74
01/13/2020, $12.78, 740833, $12.75, $12.85, $12.6939
01/10/2020, $12.71, 571874, $12.93, $12.94, $12.67
01/09/2020, $12.93, 877633, $13.2, $13.5, $12.9
01/08/2020, $13.05, 1030353, $13.03, $13.08, $12.75
01/07/2020, $13.03, 668034, $12.91, $13.21, $12.74
01/06/2020, $12.85, 732139, $12.67, $12.98, $12.57
01/03/2020, $12.895, 738317, $13.01, $13.06, $12.72
01/02/2020, $13.26, 712077, $13.17, $13.26, $13
12/31/2019, $13, 788333, $13.16, $13.245, $12.96
12/30/2019, $13.27, 618170, $13.28, $13.39, $12.98
12/27/2019, $13.28, 1042696, $14.01, $14.07, $13.26
12/26/2019, $13.89, 1681428, $13.36, $14.08, $13.34
12/24/2019, $13.36, 330224, $13.46, $13.55, $13.13
12/23/2019, $13.45, 809702, $13.29, $13.67, $13.2
12/20/2019, $13.18, 1826667, $13.04, $13.27, $12.92
12/19/2019, $12.96, 574014, $13.02, $13.04, $12.86
12/18/2019, $12.98, 828030, $13, $13.058, $12.88
