Date, Close/Last, Volume, Open, High, Low
06/18/2020, $35.2, 24712, $34.38, $35.36, $34.38
06/17/2020, $34.71, 21779, $35.65, $35.73, $34.5
06/16/2020, $35.64, 34571, $37, $37, $35.39
06/15/2020, $35.24, 35491, $33.44, $35.365, $33.44
06/12/2020, $34.92, 33471, $35.56, $36.1, $33.65
06/11/2020, $33.76, 44140, $35.35, $36.24, $33.76
06/10/2020, $37.23, 39723, $39.51, $39.51, $37.01
06/09/2020, $39.68, 27286, $39.69, $40.41, $38.87
06/08/2020, $40.34, 23708, $41.04, $41.06, $39.5428
06/05/2020, $40.52, 48199, $39.83, $40.86, $39.0471
06/04/2020, $37.74, 74020, $37, $38.48, $36.46
06/03/2020, $37.03, 49758, $36.74, $37.555, $36.65
06/02/2020, $35.91, 57627, $36.18, $36.49, $35.55
06/01/2020, $36.06, 48488, $36.11, $36.78, $35.72
05/29/2020, $36.19, 42837, $36.88, $37.09, $35.25
05/28/2020, $37.08, 48247, $39.62, $39.62, $36.83
05/27/2020, $38.82, 40413, $36.49, $39.15, $36.14
05/26/2020, $35.55, 70717, $35.82, $37.215, $35.04
05/22/2020, $34.08, 40992, $33.71, $34.49, $33.47
05/21/2020, $33.62, 30199, $33.46, $34.12, $32.83
05/20/2020, $33.52, 28452, $32.98, $34.3, $32.98
05/19/2020, $32.4, 75954, $32.24, $33.045, $31.68
05/18/2020, $32.45, 61396, $30.74, $32.88, $30.665
05/15/2020, $29.12, 69228, $28.07, $29.39, $27.71
05/14/2020, $28.17, 45909, $26.76, $28.3, $26.45
05/13/2020, $27.7, 62094, $28.67, $29.08, $26.8883
05/12/2020, $29.11, 49557, $31.54, $31.54, $29
05/11/2020, $31.31, 89477, $29.7, $33.08, $29.13
05/08/2020, $30.41, 50527, $29.52, $30.99, $28.55
05/07/2020, $28.39, 68755, $26.52, $33.5, $26.52
05/06/2020, $27.48, 46468, $28.02, $28.36, $27.18
05/05/2020, $27.99, 50665, $28.59, $29.316, $27.865
05/04/2020, $27.77, 84911, $27.91, $28.415, $26.76
05/01/2020, $28.42, 67446, $28.77, $28.95, $27.01
04/30/2020, $28.82, 47344, $30.81, $30.81, $28.75
04/29/2020, $31.98, 69176, $30.9, $32.58, $30.679
04/28/2020, $30.16, 60061, $30.11, $31.0705, $29.35
04/27/2020, $29.08, 52832, $27.01, $29.84, $26.99
04/24/2020, $26.87, 60793, $27.5, $27.585, $26.33
04/23/2020, $27.52, 31196, $26.77, $28.49, $26.77
04/22/2020, $26.24, 48677, $27.24, $27.9037, $26.11
04/21/2020, $26.9, 57841, $26.84, $27.59, $26.57
04/20/2020, $27.32, 88766, $27.32, $29.27, $26.65
