Date, Close/Last, Volume, Open, High, Low
06/18/2020, $1.82, 405590, $1.69, $1.87, $1.69
06/17/2020, $1.75, 475119, $1.7, $1.7901, $1.65
06/16/2020, $1.75, 283803, $1.76, $1.85, $1.7
06/15/2020, $1.76, 329948, $1.62, $1.7902, $1.6
06/12/2020, $1.77, 518211, $1.77, $1.91, $1.66
06/11/2020, $1.67, 535881, $1.57, $1.71, $1.5
06/10/2020, $1.87, 2116527, $2.45, $2.49, $1.85
06/09/2020, $2.05, 2195583, $1.73, $2.14, $1.73
06/08/2020, $1.79, 625276, $1.85, $1.87, $1.72
06/05/2020, $1.87, 401963, $1.95, $1.96, $1.85
06/04/2020, $1.94, 1016404, $2.02, $2.08, $1.92
06/03/2020, $2.3, 3128436, $2.6, $2.65, $2.1
06/02/2020, $2.87, 78258010, $4.35, $5.3, $2.65
06/01/2020, $1.34, 43719, $1.36, $1.36, $1.2101
05/29/2020, $1.32, 45891, $1.39, $1.39, $1.3
05/28/2020, $1.39, 96370, $1.46, $1.47, $1.3
05/27/2020, $1.48, 202145, $1.5, $1.6598, $1.25
05/26/2020, $1.49, 167941, $1.43, $1.58, $1.43
05/22/2020, $1.37, 214568, $1.23, $1.49, $1.1828
05/21/2020, $1.2, 381957, $1.13, $1.38, $1.1
05/20/2020, $1.1, 42587, $1.1, $1.13, $1.07
05/19/2020, $1.09, 112055, $1.11, $1.23, $1.07
05/18/2020, $1.11, 92467, $1.15, $1.15, $1
05/15/2020, $1.13, 74808, $1.02, $1.15, $0.995
05/14/2020, $1.02, 30615, $1.01, $1.09, $0.95
05/13/2020, $1.01, 84490, $1.08, $1.09, $0.924
05/12/2020, $1.08, 84725, $1.24, $1.24, $1.04
05/11/2020, $1.2, 158668, $1.22, $1.27, $1.11
05/08/2020, $1.2, 133052, $1.14, $1.24, $1.1
05/07/2020, $1.1, 251264, $1.26, $1.285, $1.03
05/06/2020, $1.29, 418549, $1.5, $1.58, $1.22
05/05/2020, $1.5, 1049330, $1.08, $1.58, $0.9744
05/04/2020, $1.03, 168542, $0.9337, $1.12, $0.9149
05/01/2020, $0.9299, 34116, $0.9451, $0.96, $0.8659
04/30/2020, $0.9099, 15590, $0.9854, $0.9854, $0.901
04/29/2020, $0.95, 21676, $0.95, $0.96, $0.9287
04/28/2020, $0.95, 40209, $0.975, $1.01, $0.91
04/27/2020, $0.9663, 42495, $0.943, $1.01, $0.91
04/24/2020, $0.9598, 42392, $0.93, $0.9904, $0.889
04/23/2020, $0.93, 59641, $1.02, $1.02, $0.9
04/22/2020, $0.9501, 41250, $1.04, $1.04, $0.94
04/21/2020, $0.98, 84369, $0.99, $1.05, $0.9
04/20/2020, $1.12, 716629, $1, $1.34, $0.95
04/17/2020, $0.9701, 35353, $0.9029, $1.01, $0.9
04/16/2020, $0.9029, 7003, $0.98, $0.98, $0.85
04/15/2020, $0.978, 38384, $0.98, $0.98, $0.8801
04/14/2020, $0.9521, 57272, $0.987, $1, $0.9
04/13/2020, $0.94, 143555, $1.12, $1.12, $0.87
04/09/2020, $0.832, 108503, $0.85, $0.95, $0.75
04/08/2020, $0.826, 12720, $0.83, $0.8322, $0.75
04/07/2020, $0.7942, 14014, $0.784, $0.8, $0.75
04/06/2020, $0.7692, 22112, $0.76, $0.8008, $0.74
04/03/2020, $0.7499, 11260, $0.76, $0.76, $0.74
04/02/2020, $0.75, 18070, $0.8001, $0.82, $0.75
04/01/2020, $0.8349, 33235, $0.9362, $0.97, $0.81
03/31/2020, $0.96, 93989, $1.05, $1.05, $0.86
03/30/2020, $1.0027, 195388, $0.8, $1.17, $0.8
03/27/2020, $0.82, 18017, $0.86, $0.86, $0.64
03/26/2020, $0.8643, 36978, $0.89, $0.92, $0.78
03/25/2020, $0.88, 24080, $0.86, $0.9957, $0.8201
03/24/2020, $0.8537, 35625, $0.8, $0.865, $0.7837
03/23/2020, $0.765, 14648, $0.8284, $0.8284, $0.7564
03/20/2020, $0.79, 53360, $0.7216, $0.9, $0.65
03/19/2020, $0.6545, 69149, $0.67, $0.73, $0.65
03/18/2020, $0.66, 33330, $0.8299, $0.8299, $0.6264
03/17/2020, $0.7904, 63088, $0.85, $0.91, $0.781
03/16/2020, $0.875, 30211, $0.83, $0.92, $0.82
03/13/2020, $0.9, 26789, $0.91, $0.98, $0.9
03/12/2020, $0.921, 14107, $0.91, $0.9955, $0.9
03/11/2020, $1.05, 44066, $0.95, $1.07, $0.9272
03/10/2020, $0.93, 43397, $1.0375, $1.0699, $0.9
03/09/2020, $1.03, 48684, $1.05, $1.09, $1.02
03/06/2020, $1.12, 20453, $1.06, $1.14, $1.06
03/05/2020, $1.1, 22447, $1.15, $1.1869, $1.0501
03/04/2020, $1.1512, 15049, $1.12, $1.1699, $1.1177
03/03/2020, $1.12, 26374, $1.13, $1.13, $1.05
03/02/2020, $1.1403, 12974, $1.12, $1.1744, $1.12
02/28/2020, $1.1474, 63668, $1.09, $1.16, $1.03
02/27/2020, $1.17, 67404, $1.21, $1.215, $1.09
02/26/2020, $1.26, 18737, $1.26, $1.2686, $1.209
02/25/2020, $1.226, 28565, $1.29, $1.29, $1.2
02/24/2020, $1.29, 13020, $1.34, $1.34, $1.22
02/21/2020, $1.29, 13815, $1.325, $1.35, $1.2301
02/20/2020, $1.3, 19832, $1.349, $1.349, $1.22
02/19/2020, $1.27, 30589, $1.3, $1.3001, $1.25
02/18/2020, $1.31, 12451, $1.33, $1.354, $1.3
02/14/2020, $1.33, 10745, $1.3, $1.35, $1.3
02/13/2020, $1.33, 14515, $1.32, $1.39, $1.29
02/12/2020, $1.4, 15122, $1.2735, $1.42, $1.2735
02/11/2020, $1.3591, 41674, $1.35, $1.36, $1.2702
02/10/2020, $1.34, 26868, $1.47, $1.47, $1.33
02/07/2020, $1.33, 13503, $1.37, $1.3938, $1.33
02/06/2020, $1.38, 37202, $1.42, $1.42, $1.3301
02/05/2020, $1.32, 28118, $1.3, $1.3973, $1.2601
02/04/2020, $1.3, 165332, $1.25, $1.4, $1.2102
02/03/2020, $1.25, 44413, $1.29, $1.3, $1.24
01/31/2020, $1.31, 37142, $1.37, $1.44, $1.279
01/30/2020, $1.41, 23539, $1.42, $1.43, $1.3409
01/29/2020, $1.42, 21997, $1.45, $1.4873, $1.4101
01/28/2020, $1.45, 23264, $1.44, $1.49, $1.39
01/27/2020, $1.44, 59058, $1.42, $1.47, $1.39
01/24/2020, $1.4301, 42173, $1.4, $1.495, $1.4
01/23/2020, $1.49, 172640, $1.56, $1.56, $1.36
01/22/2020, $1.45, 156623, $1.39, $1.47, $1.21
01/21/2020, $1.4, 201727, $1.55, $1.6798, $1.33
01/17/2020, $1.59, 174668, $1.75, $1.76, $1.45
01/16/2020, $1.76, 75329, $1.84, $1.85, $1.69
01/15/2020, $1.77, 136226, $1.69, $1.855, $1.68
01/14/2020, $1.68, 212041, $1.74, $1.76, $1.6208
01/13/2020, $1.85, 851595, $2.66, $2.75, $1.67
01/10/2020, $2.4573, 34210, $2.49, $2.5146, $2.36
01/09/2020, $2.495, 36007, $2.5, $2.5099, $2.45
01/08/2020, $2.5085, 48308, $2.63, $2.67, $2.4364
01/07/2020, $2.61, 200699, $2.6, $2.79, $2.5
01/06/2020, $2.6, 215916, $2.4, $2.75, $2.4
01/03/2020, $2.43, 46331, $2.39, $2.49, $2.3727
01/02/2020, $2.41, 101823, $2.25, $2.42, $2.2145
12/31/2019, $2.26, 41625, $2.29, $2.3368, $2.25
12/30/2019, $2.36, 109833, $2.52, $2.52, $2.24
12/27/2019, $2.4, 435486, $2.35, $2.6, $2.21
12/26/2019, $2.24, 34547, $2.35, $2.35, $2.18
12/24/2019, $2.3, 115662, $2.1, $2.42, $2.1
12/23/2019, $2.16, 38445, $2.16, $2.1852, $2.1
12/20/2019, $2.1641, 56510, $2.21, $2.23, $2.0501
