Date, Close/Last, Volume, Open, High, Low
06/17/2020, $27.36, 505155, $27.81, $27.89, $26.89
06/16/2020, $27.76, 485560, $28.19, $28.5217, $27.32
06/15/2020, $27.18, 704596, $25.59, $27.27, $25.46
06/12/2020, $26.48, 828406, $26.99, $27.08, $25.65
06/11/2020, $25.77, 708949, $26.92, $26.951, $25.71
06/10/2020, $28.01, 462444, $28.3, $28.5, $27.6
06/09/2020, $28.29, 374639, $28.53, $28.65, $27.87
06/08/2020, $29.08, 439544, $29.54, $29.67, $28.93
06/05/2020, $28.96, 672699, $28.4, $29.34, $28.3
06/04/2020, $27.76, 430912, $27.97, $28.155, $27.42
06/03/2020, $28.26, 557331, $27.98, $28.52, $27.605
06/02/2020, $27.63, 485926, $27.98, $27.98, $27.01
06/01/2020, $27.73, 679299, $27.67, $27.97, $27.27
05/29/2020, $27.58, 1016766, $26.8, $27.7, $26.27
05/28/2020, $26.51, 544521, $27.62, $27.62, $26.39
05/27/2020, $27.35, 703129, $27.24, $27.64, $26.17
05/26/2020, $26.75, 611351, $27.2, $27.66, $26.645
05/22/2020, $26.19, 464706, $26.14, $26.99, $25.6
05/21/2020, $25.92, 746345, $26.27, $26.79, $25.83
05/20/2020, $26.45, 967371, $25.72, $26.55, $25.63
05/19/2020, $25.17, 546939, $25.3, $26.07, $25.02
05/18/2020, $25.62, 1201403, $25.43, $26.32, $25.38
05/15/2020, $24.34, 1029054, $23.82, $24.65, $23.52
05/14/2020, $23.87, 1097453, $23.2, $23.91, $21.85
05/13/2020, $23.78, 1293453, $24.35, $24.57, $22.93
05/12/2020, $24.65, 600514, $26.06, $26.335, $24.65
05/11/2020, $26.12, 797223, $26.5, $26.58, $25.94
05/08/2020, $27, 703458, $27.25, $27.96, $26.83
05/07/2020, $26.87, 877780, $25.75, $26.93, $25.39
05/06/2020, $26.31, 812558, $27.07, $27.3699, $26.17
05/05/2020, $27.09, 671841, $26.95, $27.9, $26.71
05/04/2020, $26.58, 492702, $26.09, $26.64, $25.77
05/01/2020, $26.48, 582281, $26.58, $27.13, $25.91
04/30/2020, $27.4, 786269, $27.58, $28.16, $27
04/29/2020, $28.06, 1253527, $27.43, $28.395, $26.91
04/28/2020, $26.355, 675496, $27.27, $27.5, $26.3
04/27/2020, $26.63, 960253, $24.31, $26.82, $24.31
04/24/2020, $24.14, 1095978, $24.25, $24.425, $23.655
04/23/2020, $24.24, 790268, $24.78, $25.84, $24.21
04/22/2020, $24.51, 509681, $24.65, $25.03, $24.33
04/21/2020, $24.06, 709969, $25.06, $25.38, $23.67
04/20/2020, $25.79, 702467, $26, $27.5695, $25.3
04/17/2020, $26.01, 1499395, $24.75, $26.13, $24.75
04/16/2020, $23.97, 940931, $24.28, $25.15, $23.41
04/15/2020, $24.32, 1040770, $24.81, $25.19, $24.105
04/14/2020, $25.32, 644892, $26.25, $26.3487, $25.3
04/13/2020, $25.62, 761195, $27.12, $27.48, $25.4
04/09/2020, $27.36, 606664, $26.56, $27.76, $26.16
04/08/2020, $25.91, 749867, $24.61, $26.37, $24.29
04/07/2020, $24.15, 950613, $24.27, $25.31, $23.957
