Date, Close/Last, Volume, Open, High, Low
06/18/2020, $20.06, 283190, $19.36, $20.13, $19.16
06/17/2020, $19.3, 111691, $19.75, $19.8889, $19.12
06/16/2020, $19.68, 248334, $19.84, $19.84, $19.3
06/15/2020, $19.33, 202737, $18.76, $19.58, $18.61
06/12/2020, $18.74, 221462, $19.19, $19.48, $18.19
06/11/2020, $18.55, 180188, $19.5, $19.64, $18.47
06/10/2020, $20.03, 157137, $20.38, $20.59, $20.01
06/09/2020, $20.38, 201273, $20.82, $20.845, $20.13
06/08/2020, $21.05, 126062, $20.99, $21.11, $20.07
06/05/2020, $20.84, 201663, $21.38, $21.48, $20.67
06/04/2020, $20.86, 165942, $20.69, $20.99, $20.24
06/03/2020, $20.89, 201847, $20.58, $21.23, $20.1
06/02/2020, $20.31, 909145, $20.09, $20.68, $19.91
06/01/2020, $19.84, 288718, $19.59, $20.11, $19.25
05/29/2020, $19.45, 364207, $18.65, $19.54, $18.62
05/28/2020, $18.37, 150247, $18.99, $19.1377, $18.21
05/27/2020, $18.84, 209021, $17.96, $18.9, $17.69
05/26/2020, $18.15, 189060, $18, $18.18, $17.87
05/22/2020, $17.78, 174787, $17.01, $17.83, $17.01
05/21/2020, $17.21, 103271, $16.87, $17.25, $16.86
05/20/2020, $17.05, 95220, $16.98, $17.14, $16.84
05/19/2020, $16.72, 188268, $17.01, $17.37, $16.64
05/18/2020, $17.09, 143052, $17.04, $17.18, $16.86
05/15/2020, $16.51, 224086, $16.25, $16.58, $16.02
05/14/2020, $16.3, 143180, $16.01, $16.55, $15.55
05/13/2020, $16.32, 198461, $16.16, $16.39, $15.92
05/12/2020, $16.3, 211711, $16.72, $16.78, $16.3
05/11/2020, $16.7, 161167, $16.36, $16.95, $16.215
05/08/2020, $16.61, 133293, $16.12, $16.68, $16.07
05/07/2020, $15.91, 136210, $16.02, $16.02, $15.64
05/06/2020, $15.89, 120650, $15.86, $16.165, $15.65
05/05/2020, $15.84, 91469, $15.99, $16.34, $15.805
05/04/2020, $15.81, 103750, $15.68, $15.9, $15.0844
05/01/2020, $15.91, 124108, $16.1, $16.65, $15.72
04/30/2020, $16.48, 124764, $16.64, $16.9088, $16.37
04/29/2020, $16.84, 246946, $17.04, $18.049, $16.737
04/28/2020, $16.64, 92645, $16.71, $16.89, $16.29
04/27/2020, $16.43, 637666, $15.78, $16.63, $15.6
04/24/2020, $15.72, 583608, $14.87, $15.74, $14.66
04/23/2020, $14.85, 184818, $14.65, $14.92, $14.45
04/22/2020, $14.62, 120173, $14.44, $15, $14.35
04/21/2020, $14.16, 105658, $14.18, $14.41, $13.92
04/20/2020, $14.57, 116220, $14.41, $14.78, $14.41
04/17/2020, $14.7, 190111, $14.38, $14.99, $14.19
04/16/2020, $14, 145477, $14.63, $14.7557, $13.79
04/15/2020, $14.57, 181218, $14.24, $14.915, $14.06
04/14/2020, $14.65, 127279, $15.01, $15.16, $14.52
04/13/2020, $14.99, 80162, $15.47, $15.66, $14.79
04/09/2020, $15.5, 143396, $15.49, $15.7, $15.02
04/08/2020, $14.98, 162532, $14.85, $15.19, $14.4
04/07/2020, $14.5, 150577, $14.5, $14.91, $14.05
04/06/2020, $14.23, 176289, $13.94, $14.33, $13.7
04/03/2020, $13.45, 105557, $13.53, $13.84, $13.165
04/02/2020, $13.63, 134654, $13.78, $14.38, $13.075
04/01/2020, $13.8, 211377, $13.71, $14.2, $13.56
03/31/2020, $14.21, 331309, $14.39, $14.75, $13.52
03/30/2020, $14.54, 184419, $13.81, $14.615, $13.3694
03/27/2020, $13.64, 170985, $12.97, $14.31, $12.93
03/26/2020, $13.5, 182567, $12.75, $13.5, $12.67
03/25/2020, $12.59, 255057, $12.74, $13.03, $12.43
03/24/2020, $12.77, 193241, $12.55, $12.985, $12.125
03/23/2020, $12.11, 234509, $11.28, $12.11, $10.62
03/20/2020, $11.04, 311522, $10.99, $11.67, $10.86
03/19/2020, $11, 325697, $9.25, $11.5, $9.25
03/18/2020, $9.06, 224760, $11.95, $12.13, $9.05
03/17/2020, $12.5, 338481, $11.8, $12.75, $11.275
03/16/2020, $11.6, 154616, $11.86, $12.26, $11.59
03/13/2020, $13.11, 213566, $13.07, $13.27, $12.32
03/12/2020, $12.56, 188809, $12.87, $13.1137, $12.36
03/11/2020, $13.77, 121606, $14.2, $14.2, $13.68
03/10/2020, $14.48, 154139, $14.92, $14.975, $13.98
