Date, Close/Last, Volume, Open, High, Low
06/17/2020, $27.86, 319546, $27.9, $28.65, $27.75
06/16/2020, $27.64, 457031, $27.32, $27.87, $26.75
06/15/2020, $26.41, 378546, $25.14, $26.51, $24.75
06/12/2020, $25.72, 239160, $26.16, $26.49, $25.1
06/11/2020, $25.195, 360240, $27, $27.19, $25.02
06/10/2020, $27.96, 323030, $28, $28.37, $27.68
06/09/2020, $27.88, 465275, $27.3, $27.98, $27
06/08/2020, $27.46, 602775, $27.74, $28.15, $27.125
06/05/2020, $26.76, 363181, $27.4, $28, $26.68
06/04/2020, $26.73, 262635, $26.35, $27.23, $26.15
06/03/2020, $26.57, 434744, $26.52, $27.24, $26.21
06/02/2020, $26.06, 661529, $26.36, $26.67, $25.41
06/01/2020, $26.19, 622246, $27, $27.405, $26.11
05/29/2020, $26.85, 826102, $27.27, $27.39, $26.05
05/28/2020, $25.6, 580647, $27.41, $27.57, $25.43
05/27/2020, $27.48, 521255, $26.63, $27.57, $25.3
05/26/2020, $26.71, 447067, $26.62, $27.04, $25.71
05/22/2020, $25, 174568, $25.06, $25.235, $24.57
05/21/2020, $24.84, 235262, $25.21, $25.42, $24.82
05/20/2020, $25.33, 289116, $25.11, $25.72, $24.92
05/19/2020, $24.73, 356296, $23.93, $25.63, $23.93
05/18/2020, $23.95, 360160, $24.53, $24.65, $23.62
05/15/2020, $23.52, 354297, $24.61, $24.61, $23.31
05/14/2020, $25.095, 417116, $24.08, $25.1, $23.36
05/13/2020, $24.71, 527649, $25.8, $26.09, $24.42
05/12/2020, $26.01, 845215, $27.25, $27.82, $25.83
05/11/2020, $27.01, 917127, $25.63, $27.21, $25.17
05/08/2020, $26.245, 375975, $26, $26.94, $25.65
05/07/2020, $25.81, 346621, $26.2, $26.96, $25.555
05/06/2020, $25.56, 905394, $25.31, $26.9, $24.18
05/05/2020, $22.75, 311305, $22.75, $23.75, $22.43
05/04/2020, $22.38, 268167, $22.18, $22.72, $21.78
05/01/2020, $22.48, 358626, $22.72, $23, $21.79
04/30/2020, $23.36, 406316, $25.24, $25.31, $23.35
04/29/2020, $25.82, 390376, $24.99, $26.07, $24.83
04/28/2020, $24.44, 327370, $23.76, $24.775, $23.27
04/27/2020, $23.11, 349264, $21.94, $23.22, $21.94
04/24/2020, $21.69, 202338, $21.49, $21.89, $21.14
04/23/2020, $21.52, 167252, $21.47, $22, $21.16
04/22/2020, $21.63, 142258, $20.84, $21.74, $20.5
04/21/2020, $20.15, 220979, $20.97, $21.23, $19.86
04/20/2020, $21.56, 249791, $20.94, $22.08, $20.6127
04/17/2020, $21.47, 384173, $21.56, $21.62, $21.12
04/16/2020, $20.93, 424110, $22.02, $22.28, $20.65
04/15/2020, $21.49, 356904, $21.04, $21.68, $20.69
04/14/2020, $21.81, 495363, $20.43, $22, $20.41
04/13/2020, $19.64, 199844, $19.46, $19.67, $18.92
04/09/2020, $19.63, 302325, $20.59, $20.99, $19.17
04/08/2020, $19.79, 219489, $19.16, $20.32, $18.82
04/07/2020, $18.81, 302641, $19.83, $19.97, $18.285
04/06/2020, $19.04, 438993, $17.81, $19.2, $17.81
04/03/2020, $16.82, 288618, $17.02, $17.49, $16.11
04/02/2020, $17.27, 375506, $16.61, $17.84, $16.5207
04/01/2020, $17.5, 266873, $17.75, $18, $17.15
03/31/2020, $18.31, 336739, $18.35, $18.99, $17.79
03/30/2020, $18.25, 224836, $17.86, $19.02, $17.7648
03/27/2020, $17.74, 256469, $18.85, $19.38, $17.615
03/26/2020, $19.79, 400545, $17.4, $19.91, $17.4
03/25/2020, $17.08, 328780, $17.72, $18.51, $16.84
03/24/2020, $17.6, 395639, $16.15, $17.71, $15.85
03/23/2020, $14.98, 331459, $13.97, $15.4, $13.71
03/20/2020, $13.6, 456371, $13.74, $14.72, $13.32
03/19/2020, $13.42, 468302, $13.07, $15.82, $12.99
03/18/2020, $13.8, 341742, $17.5, $17.8, $13.77
03/17/2020, $18.78, 402030, $17.09, $19.54, $16.11
03/16/2020, $16.71, 564044, $18.32, $18.82, $16.41
03/13/2020, $20.21, 486405, $19.97, $20.36, $18.49
03/12/2020, $19.07, 501816, $19.76, $20.285, $18.62
03/11/2020, $21.12, 433331, $21.9, $22.12, $20.95
03/10/2020, $22.51, 379675, $22.61, $22.78, $21.58
03/09/2020, $21.85, 334648, $21.59, $22.85, $21.1405
03/06/2020, $23.47, 255845, $22.38, $23.53, $22.3
03/05/2020, $23.2, 276770, $23.44, $23.86, $22.94
03/04/2020, $24.16, 208768, $23.75, $24.3, $23.465
03/03/2020, $23.51, 156287, $23.97, $24.2898, $23.29
03/02/2020, $23.95, 287505, $24.28, $24.28, $23.3
02/28/2020, $23.99, 410593, $21.92, $23.99, $21.92
02/27/2020, $22.98, 450037, $22.93, $24.41, $22.74
02/26/2020, $23.83, 221243, $23.38, $24.07, $23.31
02/25/2020, $23.26, 340821, $24.57, $24.57, $23.1844
02/24/2020, $24.32, 491848, $25.08, $25.18, $24.01
02/21/2020, $26.155, 273735, $27.71, $27.78, $25.66
02/20/2020, $27.95, 363045, $27.85, $28.45, $27.54
02/19/2020, $27.98, 231759, $28.27, $28.33, $27.7
02/18/2020, $27.81, 219864, $27.67, $28.14, $27.55
02/14/2020, $28.32, 224318, $28.72, $28.72, $28.04
02/13/2020, $28.56, 426315, $28.06, $29.24, $27.9
02/12/2020, $28.345, 377890, $28.98, $29.19, $28.13
