Date, Close/Last, Volume, Open, High, Low
06/17/2020, $61.38, 450888, $59.33, $64.4, $59.02
06/16/2020, $59.33, 307529, $59.73, $60.49, $57.67
06/15/2020, $58.5, 458676, $53.84, $59.19, $53.21
06/12/2020, $56.35, 364665, $56.62, $58.75, $53.83
06/11/2020, $55.35, 483313, $56, $58.19, $54.62
06/10/2020, $58.36, 429851, $58.37, $59.05, $55.8001
06/09/2020, $57.46, 379253, $56.26, $59.73, $55.66
06/08/2020, $56.82, 865812, $61.99, $62.1, $55.56
06/05/2020, $62.44, 457188, $64.88, $67.3992, $61.57
06/04/2020, $65.1, 244041, $65.09, $65.3199, $62.73
06/03/2020, $65.08, 428853, $61.3, $65.87, $61.3
06/02/2020, $60.91, 484445, $63.94, $64.37, $59.5
06/01/2020, $63.9, 595779, $60.01, $66.97, $60.01
05/29/2020, $59.79, 454887, $59.3, $60, $56.25
05/28/2020, $58.65, 306062, $58.9, $62, $57.64
05/27/2020, $59.16, 618330, $60.01, $60.64, $53
05/26/2020, $59.2, 971329, $56.98, $62.87, $56.7923
05/22/2020, $52.87, 452174, $55.23, $56.67, $50.96
05/21/2020, $54.5, 823658, $57.95, $61.38, $53.14
05/20/2020, $55.08, 1359933, $65.71, $67.5285, $53.4601
05/19/2020, $65.69, 695202, $63.8, $69.25, $63.79
05/18/2020, $63.61, 572092, $61.2, $63.96, $58.654
05/15/2020, $58.71, 583563, $57, $59.7494, $55.46
05/14/2020, $60.03, 1281940, $48.23, $60.38, $48.21
05/13/2020, $50.28, 788702, $56.3, $56.81, $47.77
05/12/2020, $56.05, 1145784, $55, $58.78, $51.67
05/11/2020, $53.84, 844634, $46.83, $54.36, $46.35
05/08/2020, $46.66, 707886, $43.62, $47.64, $43.35
05/07/2020, $44.19, 723330, $39.58, $44.88, $39.58
05/06/2020, $39.3, 465126, $39.61, $41.86, $38.89
05/05/2020, $37.68, 286407, $36.44, $39.06, $36.44
05/04/2020, $35.79, 274762, $35.19, $36.69, $34.57
05/01/2020, $35.68, 491434, $38.5, $39.5, $35.02
04/30/2020, $39.93, 217061, $41.79, $41.79, $39.57
