Date, Close/Last, Volume, Open, High, Low
06/17/2020, $205.2, 1594775, $206.03, $206.33, $203.65
06/16/2020, $204.4, 2153970, $203.36, $206.88, $202.12
06/15/2020, $199.79, 2311520, $196.49, $200.74, $194.83
06/12/2020, $201.59, 2590135, $201.1, $202.43, $197.31
06/11/2020, $195.95, 4046643, $205.52, $205.95, $195.88
06/10/2020, $209.43, 2077205, $207.26, $210.83, $205.9
06/09/2020, $207.34, 2269815, $209.39, $209.79, $205.5001
06/08/2020, $211.28, 1627109, $207.51, $211.32, $207
06/05/2020, $208.49, 2538097, $205.99, $209.72, $204.79
06/04/2020, $203.1, 2451544, $206.09, $207.79, $202.33
06/03/2020, $207.28, 1605416, $204.42, $207.83, $204.31
06/02/2020, $205.78, 1939214, $204.09, $205.79, $202.34
06/01/2020, $203.38, 1530771, $201.54, $203.75, $199.87
05/29/2020, $201.62, 2535390, $201.49, $202.41, $198.69
05/28/2020, $201.67, 2280638, $200.01, $204.18, $200.01
05/27/2020, $199.93, 2000474, $198.38, $199.95, $196.21
05/26/2020, $196.4, 2408717, $199.42, $199.99, $196.03
05/22/2020, $193.71, 1317533, $194.08, $194.89, $191.13
05/21/2020, $193.5, 1372965, $194.7, $195.52, $192.7
05/20/2020, $195.18, 2294780, $192.5, $195.67, $192.23
05/19/2020, $190.09, 1784100, $192.5, $194.51, $189.92
05/18/2020, $192.75, 2254702, $189, $194.14, $188.11
05/15/2020, $183.88, 3630126, $178.37, $183.96, $177.83
05/14/2020, $179.99, 2773299, $178.7, $180.01, $174.94
05/13/2020, $181, 2349306, $185.04, $185.14, $178.75
05/12/2020, $185.72, 1912272, $187.84, $189.99, $185.685
05/11/2020, $187.75, 2013784, $186.49, $189.53, $185.29
05/08/2020, $188.56, 1779220, $188.99, $189.85, $187.68
05/07/2020, $187.11, 2295370, $182.99, $187.43, $182.5
05/06/2020, $180.38, 1474938, $182.1, $182.5, $179.05
05/05/2020, $181.62, 1621909, $182.08, $183.89, $181
05/04/2020, $179.53, 1710513, $177.98, $180.6365, $176.88
05/01/2020, $180.09, 2064179, $181.71, $182.99, $179.2599
04/30/2020, $185.19, 2740854, $185.53, $186.48, $184.19
04/29/2020, $187.56, 2957576, $182.31, $188.17, $181.7
04/28/2020, $178.36, 2160133, $182.08, $183.26, $176.91
04/27/2020, $179.43, 2457808, $176.23, $180.535, $176.2
04/24/2020, $175.46, 2121085, $176.4, $176.4, $172.57
04/23/2020, $172.9, 3027901, $173.36, $175.32, $172.14
04/22/2020, $172.31, 1921231, $170.04, $173.34, $169.21
04/21/2020, $166.24, 2711361, $170.82, $172.8, $165.71
04/20/2020, $174.74, 2511870, $172.59, $176.9, $171.76
04/17/2020, $175.09, 4759164, $172.52, $175.16, $172.05
04/16/2020, $167.95, 3051768, $171.26, $172.05, $167.52
04/15/2020, $169.45, 2504814, $174.3, $174.31, $168.89
04/14/2020, $178.1, 2874967, $177, $178.89, $176.02
04/13/2020, $172.57, 1918535, $176.18, $177.01, $169.56
04/09/2020, $177.92, 3743781, $173.23, $179.87, $172.51
04/08/2020, $171.73, 2466264, $166.58, $172.69, $165.07
04/07/2020, $164.12, 3002732, $171.08, $171.49, $163.93
04/06/2020, $166.05, 3089966, $158.98, $166.75, $157.04
04/03/2020, $152.15, 3766837, $155.6, $158.72, $148.28
04/02/2020, $156.27, 3030044, $154.05, $160.5, $153.55
04/01/2020, $154.68, 2973098, $158.57, $160.8177, $152.58
03/31/2020, $163.26, 2963228, $167.43, $169.88, $162.16
03/30/2020, $169.82, 2731346, $164.12, $170.37, $163.78
03/27/2020, $162.88, 3802537, $165, $169.29, $160.61
03/26/2020, $171.34, 5194535, $153.4, $171.6, $150
03/25/2020, $151.82, 4795680, $156.44, $159.69, $148.11
03/24/2020, $156.85, 4685083, $152.26, $157.6262, $149.49
