Date, Close/Last, Volume, Open, High, Low
06/17/2020, $413.49, 2112320, $414, $417.46, $411.36
06/16/2020, $411.67, 3766685, $407.83, $414.68, $405.475
06/15/2020, $401.34, 3783968, $398.8, $406.11, $397
06/12/2020, $406.54, 8332571, $409.3, $411.72, $395.41
06/11/2020, $387.67, 4123651, $400, $404.2, $387.37
06/10/2020, $406.82, 3611582, $399.59, $409.98, $399.49
06/09/2020, $397.16, 2279327, $397.03, $402.31, $394.15
06/08/2020, $397.78, 2592963, $391, $398.1, $385.84
06/05/2020, $392.9, 2793982, $384.64, $396.17, $382
06/04/2020, $385.8, 2422986, $389.5, $395.7201, $382.28
06/03/2020, $389.92, 2537092, $390.82, $391.14, $387.46
06/02/2020, $390.44, 2509555, $389.92, $390.91, $382.03
06/01/2020, $389.68, 2035186, $387.08, $389.99, $382.895
05/29/2020, $386.6, 5937467, $382.62, $389.05, $377.075
05/28/2020, $379.83, 2904450, $372.5, $386.9, $372.5
05/27/2020, $375.17, 3553278, $373.24, $375.7, $361.44
05/26/2020, $376.63, 3525983, $391, $391.27, $374.8103
05/22/2020, $385.26, 1688159, $381.39, $386.52, $380.95
05/21/2020, $382.17, 2261384, $382, $385.12, $380.6
05/20/2020, $383.63, 2824862, $377.21, $384.4, $377.06
05/19/2020, $372.2, 2753685, $369.88, $376, $368.89
05/18/2020, $367.97, 2352319, $371.59, $375.49, $367.21
05/15/2020, $365.3, 2626904, $351.57, $365.48, $351.53
05/14/2020, $355.39, 2752031, $354, $357, $348.01
05/13/2020, $358.56, 3365501, $366.45, $367.43, $352.71
05/12/2020, $365.1, 2071782, $371.46, $372.72, $364.55
05/11/2020, $371.42, 2266282, $365.84, $373.63, $364.5
05/08/2020, $367.51, 2548366, $370, $371.0999, $365.41
05/07/2020, $366.78, 2466063, $368.82, $369.5, $365.501
05/06/2020, $362.52, 2319702, $357.92, $366.79, $357.1301
05/05/2020, $356.13, 2377555, $353.38, $359.7, $352.39
05/04/2020, $349.11, 2372392, $340.74, $350.596, $340
05/01/2020, $343.84, 2578615, $347.24, $350.3099, $340.26
04/30/2020, $353.64, 3902173, $348.01, $356.23, $346.55
04/29/2020, $349.17, 5006415, $339.53, $351.25, $335.44
04/28/2020, $333.45, 3895571, $353.09, $353.45, $332.57
04/27/2020, $348.5, 2375636, $348.8, $349.96, $345.12
04/24/2020, $344.1, 2146162, $338, $344.7, $333.5011
04/23/2020, $335.37, 2120251, $338.9, $341.75, $334.8
04/22/2020, $336.77, 2231819, $337.41, $339.38, $332.8006
04/21/2020, $328.99, 3548202, $340.9, $342.763, $325.21
04/20/2020, $344.88, 2771970, $340.79, $348.5, $338.75
04/17/2020, $344.11, 3342418, $350.091, $350.38, $340.5
04/16/2020, $342.7, 3918632, $339.71, $345.515, $336.035
04/15/2020, $332.55, 2818631, $335.34, $339.2242, $329.645
04/14/2020, $340.765, 3858854, $328.77, $342.095, $328.47
04/13/2020, $320.65, 1838954, $315.94, $320.9, $313.75
04/09/2020, $318.7, 3300177, $318.65, $320.78, $310.79
04/08/2020, $317.18, 4002545, $313.88, $317.72, $308.2
04/07/2020, $308.93, 5422270, $327.41, $328.32, $306.3
04/06/2020, $319.13, 5145092, $306.56, $320.51, $299.955
04/03/2020, $293.61, 3934718, $302.06, $303.47, $289.71
04/02/2020, $303.96, 3590071, $297.76, $306.5, $293.18
04/01/2020, $301.21, 3902957, $307, $309.6105, $298.32
03/31/2020, $318.24, 6414549, $316.41, $326.3344, $312.68
03/30/2020, $318.39, 4340463, $308.89, $322.97, $308.01
03/27/2020, $305.83, 4862124, $311.7, $314.2872, $300.63
03/26/2020, $322.67, 4534399, $305.99, $324.43, $305.69
03/25/2020, $305.91, 4830363, $308, $317.65, $298.13
03/24/2020, $310, 6592213, $322.96, $326.99, $301.59
03/23/2020, $307.27, 6016822, $296.67, $312.49, $287.78
03/20/2020, $295.34, 7461753, $312.92, $324.8, $293.77
03/19/2020, $307.51, 6023835, $291.77, $318.705, $281.1
03/18/2020, $294.61, 7293306, $290, $296.87, $255.1314
03/17/2020, $311.81, 6189140, $291.2, $312.95, $278.35
03/16/2020, $286.03, 7140139, $288.356, $307.11, $283.25
03/13/2020, $335.5, 8935220, $312.88, $336, $298.0001
03/12/2020, $285, 7230152, $290.41, $310.13, $283.0001
03/11/2020, $315.23, 4874326, $324.32, $326.357, $309
03/10/2020, $332.38, 5973672, $318.98, $332.94, $309.31
03/09/2020, $305.79, 5291910, $311.68, $322.44, $305.33
03/06/2020, $336.77, 5622911, $340.45, $344.1599, $326.6
03/05/2020, $351.03, 3199006, $355.06, $360.45, $347.19
03/04/2020, $363.85, 4146282, $354.38, $364.27, $350.08
03/03/2020, $348.34, 4204501, $361.76, $364.95, $344.04
03/02/2020, $360.28, 5398135, $349.81, $360.75, $342.61
02/28/2020, $345.12, 6469131, $324.42, $345.46, $324
02/27/2020, $337.52, 4737676, $340, $352.2396, $337.27
02/26/2020, $351.34, 3494105, $349.4, $360.07, $348.6
02/25/2020, $347.8, 4188112, $361, $363.97, $346.28
02/24/2020, $357.41, 3924013, $355.39, $363.46, $349
02/21/2020, $372.95, 2743135, $378.02, $378.34, $368.75
02/20/2020, $378.96, 3789340, $384, $386.745, $373.48
02/19/2020, $383.28, 2580455, $383.83, $385, $381.48
02/18/2020, $378.85, 2074715, $380.2, $382.59, $378.59
02/14/2020, $379.67, 1690561, $376.28, $379.83, $375.85
02/13/2020, $374.84, 1917119, $372.56, $377.71, $372.39
02/12/2020, $374.29, 2355797, $370.64, $374.425, $367.1538
02/11/2020, $369.28, 2005005, $373.03, $373.7, $367.25
02/10/2020, $370, 2427076, $365.44, $370.81, $365.22
02/07/2020, $366.09, 2092872, $366, $369.34, $364.38
02/06/2020, $367.46, 2224882, $366.16, $368.25, $363.01
02/05/2020, $365.55, 2463385, $373.99, $374.475, $362.31
02/04/2020, $366.74, 3052967, $363.43, $367.444, $360.45
02/03/2020, $358, 2693989, $353.41, $358.67, $352.29
01/31/2020, $351.14, 3692938, $355.84, $355.84, $348.296
01/30/2020, $356.74, 1834931, $349.6935, $356.82, $349.6935
01/29/2020, $351.66, 1523203, $356.6965, $356.6965, $351.36
01/28/2020, $354.63, 2270756, $349, $355.66, $347.12
01/27/2020, $346.9, 2652030, $341.04, $349.9, $340.4
01/24/2020, $351.37, 1640163, $354.1, $355.69, $349.2
01/23/2020, $351.76, 2084658, $351.02, $352.16, $347.85
01/22/2020, $350.06, 1600485, $352.6, $354.28, $349.96
01/21/2020, $350, 2121335, $346.37, $352.37, $345.62
01/17/2020, $349.74, 2536157, $349, $349.95, $346.3825
01/16/2020, $345.38, 2439600, $345.98, $345.99, $342.76
01/15/2020, $342.94, 2213374, $346.42, $347.5, $342.46
01/14/2020, $344.63, 2274687, $347.01, $347.27, $343.15
01/13/2020, $345.63, 2069555, $341.54, $345.73, $341.22
01/10/2020, $339.81, 1481141, $342.05, $343.36, $339.62
01/09/2020, $340.45, 1626380, $340.14, $341.8099, $338.19
01/08/2020, $337.87, 2248531, $333.81, $339.23, $333.4
01/07/2020, $333.39, 2507261, $334.15, $334.79, $332.305
01/06/2020, $333.71, 1875122, $328.29, $333.91, $328.19
01/03/2020, $331.81, 1579368, $329.17, $332.98, $328.69
01/02/2020, $334.43, 1990496, $330, $334.48, $329.17
12/31/2019, $329.81, 1592512, $326.25, $329.94, $326.25
12/30/2019, $328.34, 1896731, $330.35, $330.465, $325.165
12/27/2019, $330.79, 1229983, $332.88, $332.88, $329.7701
12/26/2019, $331.2, 1056199, $329.63, $331.28, $329.63
12/24/2019, $329.64, 1066406, $329, $331.54, $328.68
12/23/2019, $328.95, 2210706, $328.83, $329.88, $327.26
12/20/2019, $327.61, 4233263, $328.37, $330, $325.62
12/19/2019, $327.63, 2561397, $324.38, $327.96, $324.26
12/18/2019, $324.38, 2332734, $322.1, $326.82, $322.0066
