Date, Close/Last, Volume, Open, High, Low
06/17/2020, $122.53, 1478878, $122.59, $123.74, $121.85
06/16/2020, $122.69, 2706381, $123.63, $124.35, $120.2
06/15/2020, $118.5, 1695554, $116.15, $118.67, $115.07
06/12/2020, $118.41, 3138665, $119.51, $119.7, $115.5
06/11/2020, $115.65, 3210604, $120.96, $121.177, $115.43
06/10/2020, $122.88, 1892677, $124.19, $124.58, $121.985
06/09/2020, $123.385, 2471531, $122.05, $124.36, $121.57
06/08/2020, $123.71, 1809820, $125, $125.35, $122.825
06/05/2020, $124.59, 3549883, $124.85, $127.39, $123.96
06/04/2020, $122.38, 1653179, $119.87, $122.86, $119.87
06/03/2020, $121.62, 3762345, $118.855, $122.87, $118.39
06/02/2020, $116.8, 3112799, $113, $116.87, $112.44
06/01/2020, $112.78, 1209503, $112.37, $113.44, $111.33
05/29/2020, $112.95, 2913338, $111.31, $113.31, $110.41
05/28/2020, $110.96, 2274237, $114.17, $114.36, $110.46
05/27/2020, $114.68, 1825888, $113.82, $115.39, $111.625
05/26/2020, $112.7, 2112511, $113.87, $115.24, $112.55
05/22/2020, $111.06, 1765044, $110.76, $111.8, $109.52
05/21/2020, $111.01, 3021054, $113.42, $114.24, $110.1
05/20/2020, $114.57, 4753509, $111.6946, $115.57, $110.8601
05/19/2020, $106.33, 3591453, $107.81, $110.38, $106.11
05/18/2020, $108.34, 2536425, $105.08, $109.16, $104.565
05/15/2020, $101.8, 4237511, $103.05, $103.56, $100.09
05/14/2020, $105.49, 2052972, $103.51, $105.57, $100.46
05/13/2020, $103.8, 2470145, $106.51, $107.38, $102.36
05/12/2020, $106.6, 2018503, $109.38, $110.655, $106.45
05/11/2020, $108.42, 1436587, $108.04, $109.44, $107.25
05/08/2020, $109.83, 1286222, $107.12, $109.87, $106.5
05/07/2020, $106.35, 1162640, $106.96, $107.74, $105.83
05/06/2020, $105.25, 1328709, $106.83, $107.7, $104.8
05/05/2020, $105.94, 1818364, $105.74, $107.3, $105.14
05/04/2020, $103.4, 2550543, $103.13, $103.84, $100.99
05/01/2020, $103.64, 2782413, $106.37, $107.29, $103.23
04/30/2020, $109.6, 2455864, $111.45, $113, $109.35
04/29/2020, $113.34, 2544272, $109.34, $114.06, $109.2
04/28/2020, $107.61, 1648713, $110.93, $111.8, $107.49
04/27/2020, $108.03, 1848894, $106.61, $108.56, $106.22
04/24/2020, $105.92, 2899905, $101.61, $106.43, $101.61
04/23/2020, $101.81, 2585628, $102.08, $103.94, $101.12
04/22/2020, $102.12, 3170599, $99.93, $102.72, $99.26
04/21/2020, $96.47, 4028101, $98.06, $99.07, $96.05
04/20/2020, $100.91, 1498285, $102.16, $103.0325, $100
04/17/2020, $102.8, 1917047, $103.96, $104.73, $101.385
04/16/2020, $101.83, 2622038, $101.52, $102.34, $99.11
04/15/2020, $100.45, 1884096, $100.73, $101.16, $98.27
04/14/2020, $103.02, 3178112, $101.8, $103.3, $100.07
04/13/2020, $99.67, 2348250, $97.52, $100.22, $97.33
04/09/2020, $98.79, 2806713, $101.34, $103.57, $97.87
04/08/2020, $101.4, 3001301, $97.22, $101.56, $95.75
04/07/2020, $96.25, 3814769, $99.022, $100.92, $95.845
04/06/2020, $95.8, 3673920, $90.14, $96.295, $89.92
04/03/2020, $86.56, 2253789, $87.39, $88.8, $85.335
04/02/2020, $87.7, 3638215, $83.13, $88.27, $82.9
04/01/2020, $84.09, 3231933, $86.04, $88.11, $83.67
03/31/2020, $89.65, 3432090, $90.56, $92.27, $89.18
03/30/2020, $90.97, 3268287, $89.54, $91.47, $87.6
03/27/2020, $88.67, 3009981, $89.26, $92.63, $88.26
03/26/2020, $92.62, 5063654, $94.53, $96.5, $90.86
03/25/2020, $94.36, 3860017, $92.66, $97.44, $89.74
03/24/2020, $93.73, 3651400, $89.78, $94, $87.44
03/23/2020, $85.16, 4063670, $85.78, $87.51, $80.51
03/20/2020, $85.08, 4567550, $92.41, $93.37, $84.88
