Date, Close/Last, Volume, Open, High, Low
06/17/2020, $237.04, 1127113, $242.29, $243.76, $236.42
06/16/2020, $240.93, 2385790, $234.95, $241.77, $234
06/15/2020, $229, 1522421, $218.96, $229.75, $218.76
06/12/2020, $222.96, 1865112, $227.95, $228.1325, $218.95
06/11/2020, $219.1, 2798454, $233, $233.47, $218.95
06/10/2020, $236.59, 1810693, $235.59, $240.245, $233.46
06/09/2020, $234.15, 1916273, $232.49, $237.8, $231.45
06/08/2020, $233.51, 2273377, $231.14, $236.47, $230.46
06/05/2020, $233.71, 1956278, $224.67, $234.54, $223
06/04/2020, $225.2, 2177537, $225, $227.365, $223.29
06/03/2020, $226.39, 2025133, $220.75, $227.39, $219.17
06/02/2020, $219.09, 2479929, $218.93, $221, $212.11
06/01/2020, $219.29, 2746022, $210, $221.51, $209.0588
05/29/2020, $210.38, 2750750, $203.6, $210.71, $200.34
05/28/2020, $202.63, 3709293, $196.38, $208.3, $194.6
05/27/2020, $199.81, 2192991, $198.65, $199.82, $192.51
05/26/2020, $199.53, 1662644, $199.32, $203.83, $198.62
05/22/2020, $195.78, 1534589, $194.03, $196.9, $192.51
05/21/2020, $194.75, 1261075, $196.08, $197.58, $193.65
05/20/2020, $196.64, 1028971, $197.97, $199.59, $194.32
05/19/2020, $194.71, 1519154, $190.13, $198.9, $190.13
05/18/2020, $190.1, 1437177, $183.84, $190.81, $183.04
05/15/2020, $180.72, 1077856, $176.49, $181.125, $175.44
05/14/2020, $177.87, 1222797, $174.53, $177.98, $170.57
05/13/2020, $176.86, 1164858, $180.6, $182.68, $173.83
05/12/2020, $180.97, 1097398, $184.37, $187.12, $180.97
05/11/2020, $184.4, 1112115, $183.14, $186.14, $182.92
05/08/2020, $184.29, 1005491, $186, $187.1575, $183.25
05/07/2020, $184, 1632447, $182.93, $186.46, $180.81
05/06/2020, $181.23, 1011883, $182.23, $185.075, $179.66
05/05/2020, $180.49, 972833, $179.57, $184.87, $179.275
05/04/2020, $177.8, 1153457, $174.78, $179.33, $173.13
05/01/2020, $174.9, 2061724, $179.22, $181.54, $172.22
04/30/2020, $187.13, 1941415, $187, $189.55, $185.14
04/29/2020, $187.9, 1559298, $180.61, $189.86, $180
04/28/2020, $177.31, 1829452, $185.53, $185.79, $176.27
04/27/2020, $182.51, 1684183, $182.24, $186.56, $182.24
04/24/2020, $180.35, 1151076, $177.264, $180.97, $174.19
04/23/2020, $175.55, 1582439, $172.99, $178.98, $172.2222
04/22/2020, $175.37, 1013487, $176.05, $177.33, $173.36
04/21/2020, $170.02, 2331901, $175.96, $177.16, $166.86
04/20/2020, $177.87, 1191987, $178.19, $181.52, $176.44
04/17/2020, $180.94, 2357706, $176.08, $182, $173.97
04/16/2020, $171, 1847485, $171.46, $173.49, $168.12
04/15/2020, $169.14, 2014700, $168.57, $172.54, $167.44
04/14/2020, $172.22, 1918063, $165.17, $174.76, $164
04/13/2020, $160.92, 1896505, $162.37, $163.985, $156.91
04/09/2020, $164.9, 3705174, $160.71, $170.8078, $160.17
04/08/2020, $159.21, 3142061, $150.79, $161.78, $149.46
04/07/2020, $148.7, 2098172, $157.73, $157.8, $147.265
04/06/2020, $152.32, 2732670, $146.12, $153.52, $144.61
04/03/2020, $139, 2214656, $136.89, $141.54, $136.28
04/02/2020, $137.05, 2729652, $136.97, $142.14, $135.52
04/01/2020, $139.22, 3185117, $147.53, $150.47, $137.86
03/31/2020, $156.1, 3679702, $154, $158.91, $152.83
03/30/2020, $155.91, 3378468, $142.74, $157.18, $141.29
03/27/2020, $141.57, 2929303, $155.83, $156.62, $140.3206
03/26/2020, $160.88, 2753388, $150.85, $163.15, $150.645
03/25/2020, $149.99, 2497272, $149.4, $154.97, $142.32
03/24/2020, $149.96, 2691644, $151.25, $153.4, $141.43
03/23/2020, $144.14, 3309178, $147.81, $151.84, $138.1
03/20/2020, $148.02, 4515807, $151.46, $156.06, $145.38
03/19/2020, $149.23, 3749324, $141.45, $152.27, $134.98
03/18/2020, $141.82, 4762375, $145.22, $154.38, $125.38
03/17/2020, $154.92, 4110652, $149.69, $157.95, $140.0501
03/16/2020, $148.08, 4101260, $140.989, $153.49, $135.24
03/13/2020, $158.03, 3998375, $146, $158.17, $138.45
03/12/2020, $136, 5014108, $143.79, $148.5, $135.7
03/11/2020, $154.4, 2789599, $159.55, $161.75, $152.36
03/10/2020, $164.48, 3439444, $165.6, $166.5, $157.1
03/09/2020, $160.05, 3108606, $157.82, $164.81, $156.7141
03/06/2020, $173.42, 3272212, $177.83, $179.68, $168.55
03/05/2020, $184.04, 2328656, $185.47, $192.73, $182.83
03/04/2020, $191.42, 2242924, $183.9, $191.68, $182.13
03/03/2020, $180.55, 2756240, $187.85, $190, $177.82
03/02/2020, $190.83, 2698908, $190.67, $191.97, $183.27
02/28/2020, $190.88, 4340064, $176.57, $191.36, $175.0476
02/27/2020, $180.65, 2688333, $184.24, $188.4851, $180.07
02/26/2020, $190.67, 2850215, $188.59, $194.15, $187.66
02/25/2020, $186.73, 2282521, $196.47, $197.4236, $185.74
02/24/2020, $194.37, 2104856, $195.56, $197.29, $192.43
02/21/2020, $201.91, 1774916, $205, $206.27, $199.85
02/20/2020, $206.67, 1527322, $210.44, $211.58, $205.07
02/19/2020, $210.76, 1569936, $209.33, $211.175, $208.64
02/18/2020, $207.06, 1342962, $209.47, $209.82, $206.9
02/14/2020, $208.95, 996939, $208.09, $209.2, $207.24
02/13/2020, $207.51, 897453, $206.34, $208.47, $206.34
02/12/2020, $207.11, 1177216, $206.76, $207.72, $205.45
02/11/2020, $205.8, 1289730, $207.35, $207.99, $204.52
02/10/2020, $206.1, 1556983, $207.24, $207.76, $205.34
02/07/2020, $207.01, 1410217, $205.58, $210.13, $204.64
02/06/2020, $206, 1326371, $203.62, $206.92, $202.46
02/05/2020, $202.08, 1366488, $206.72, $207.19, $200.79
02/04/2020, $203.94, 1093377, $202, $204.19, $200.51
02/03/2020, $199.26, 888698, $197.86, $199.94, $197.7788
01/31/2020, $196.85, 1616556, $198.77, $199.32, $193.31
01/30/2020, $198.99, 1521004, $198.42, $200.84, $196.98
01/29/2020, $199.74, 838460, $200.92, $201.57, $198.86
01/28/2020, $200.03, 1270143, $196.26, $200.43, $195.675
01/27/2020, $195.87, 1837765, $195.77, $197.15, $192.96
01/24/2020, $199.19, 2437185, $199.43, $200.9, $197.91
01/23/2020, $198.6, 1687276, $195.39, $198.91, $193.76
01/22/2020, $194.73, 1068602, $197.47, $198.72, $194.6199
01/21/2020, $195.84, 1455400, $194.01, $197.5497, $193.695
01/17/2020, $193.35, 2384909, $192.38, $194.24, $191.31
01/16/2020, $192.5, 2196018, $192.51, $193.12, $191.5
01/15/2020, $190.79, 1444325, $190.94, $192.17, $190.01
01/14/2020, $191.11, 1146459, $192.25, $193.13, $190.63
01/13/2020, $192.45, 1454238, $190, $193.37, $190
01/10/2020, $192.36, 708850, $193.16, $193.42, $191.835
01/09/2020, $191.94, 1164494, $191.71, $192.7, $190.68
01/08/2020, $189.95, 1314830, $188.22, $190.5, $187.03
01/07/2020, $187.5, 897889, $186.13, $188.17, $185.1
01/06/2020, $187.12, 1021917, $183.78, $187.25, $183.16
01/03/2020, $184.95, 737862, $184.49, $186.41, $183.78
01/02/2020, $187.83, 1515128, $184.21, $187.89, $181.88
12/31/2019, $183.46, 760339, $183.05, $184.32, $182.31
12/30/2019, $183.3, 999254, $184.63, $185.5, $182.01
12/27/2019, $185.38, 645182, $185.3, $185.64, $183.7
12/26/2019, $184.24, 634410, $184.4, $185.31, $183.68
12/24/2019, $183.91, 256197, $183.2, $184, $182.82
12/23/2019, $182.92, 903572, $183.18, $183.83, $181.73
12/20/2019, $182.84, 2396777, $185.75, $185.75, $182.62
12/19/2019, $183.78, 974378, $184, $184.75, $182.37
12/18/2019, $183.75, 1137584, $182, $185.08, $181.495
